0 336  2.1725 43.9937   -112896 0
100 2031  4.15707 1679.43   -4.12496e+06 0
200 2525  4.50198 2892.34   -6.37562e+06 0
300 2826  4.56135 3832.58   -7.98628e+06 0
400 3041  5.15739 4712.85   -9.24768e+06 0
500 3222  5.63699 5471.7   -1.03813e+07 0
600 3333  6.87605 6205.33   -1.11089e+07 0
700 3445  6.87605 6786.89   -1.1868e+07 0
800 3565  6.87605 7357.37   -1.27092e+07 0
900 3669  7.14086 7894.94   -1.34616e+07 0
1000 3768  7.51604 8345.98   -1.41978e+07 0
1100 3859  7.57832 8803.73   -1.48919e+07 0
1200 3926  8.12786 9262.29   -1.54135e+07 0
1300 3996  8.18379 9711.08   -1.5968e+07 0
1400 4067  8.36422 10080.5   -1.65405e+07 0
1500 4161  8.36422 10470.6   -1.73139e+07 0
1600 4233  8.392 10819   -1.79183e+07 0
1700 4300  8.41412 11145.5   -1.849e+07 0
1800 4371  8.4223 11445.1   -1.91056e+07 0
1900 4418  8.4223 11737.9   -1.95187e+07 0
2000 4484  8.4223 12021.8   -2.01063e+07 0
2100 4541  8.57025 12288.4   -2.06207e+07 0
2200 4573  8.57025 12533.2   -2.09123e+07 0
2300 4625  8.69613 12796.5   -2.13906e+07 0
2400 4667  8.73427 13017.9   -2.17809e+07 0
2500 4724  8.76299 13240.6   -2.23162e+07 0
2600 4767  8.77478 13450.4   -2.27243e+07 0
2700 4802  8.77478 13689.9   -2.30592e+07 0
2800 4842  8.78358 13879.4   -2.3445e+07 0
2900 4877  8.78358 14083.1   -2.37851e+07 0
3000 4917  8.78358 14290.7   -2.41769e+07 0
3100 4949  9.0103 14465.1   -2.44926e+07 0
3200 4981  9.01662 14671   -2.48104e+07 0
3300 5017  9.01662 14841   -2.51703e+07 0
3400 5057  9.01662 15001.4   -2.55732e+07 0
3500 5095  9.01662 15163.1   -2.5959e+07 0
3600 5125  9.04609 15326.6   -2.62656e+07 0
3700 5158  9.04609 15498.8   -2.6605e+07 0
3800 5189  9.04609 15649.7   -2.69257e+07 0
3900 5212  9.04609 15814.1   -2.71649e+07 0
4000 5242  9.04609 15985.4   -2.74786e+07 0
4100 5266  9.04609 16127.7   -2.77308e+07 0
4200 5293  9.07069 16283.3   -2.80158e+07 0
4300 5311  9.07069 16419.8   -2.82067e+07 0
4400 5331  9.07069 16556.9   -2.84196e+07 0
4500 5354  9.07069 16714.6   -2.86653e+07 0
4600 5375  9.07069 16838   -2.88906e+07 0
4700 5395  9.15492 16983.6   -2.9106e+07 0
4800 5418  9.15492 17117.7   -2.93547e+07 0
4900 5437  9.39762 17235.5   -2.9561e+07 0
5000 5455  9.39762 17345.8   -2.9757e+07 0
5100 5479  9.39762 17479.4   -3.00194e+07 0
5200 5499  9.39762 17604.4   -3.0239e+07 0
5300 5512  9.39762 17718.2   -3.03821e+07 0
5400 5531  9.39762 17843   -3.0592e+07 0
5500 5547  9.39762 17963.8   -3.07692e+07 0
5600 5562  9.39762 18087.2   -3.09358e+07 0
5700 5576  9.39762 18199.9   -3.10918e+07 0
5800 5586  9.60805 18302.1   -3.12034e+07 0
5900 5600  9.60805 18434.1   -3.136e+07 0
6000 5621  9.60805 18555.4   -3.15956e+07 0
6100 5636  9.60805 18671.5   -3.17645e+07 0
6200 5656  9.60805 18777.4   -3.19903e+07 0
6300 5665  9.60805 18906.4   -3.20922e+07 0
6400 5675  9.60805 19023.7   -3.22056e+07 0
6500 5680  9.60805 19138.4   -3.22624e+07 0
6600 5692  9.84469 19241.9   -3.23989e+07 0
6700 5700  9.84469 19335.4   -3.249e+07 0
6800 5709  9.84469 19422.7   -3.25927e+07 0
6900 5716  10.0036 19509.8   -3.26727e+07 0
7000 5731  10.0036 19612   -3.28444e+07 0
7100 5736  10.0036 19701.8   -3.29017e+07 0
7200 5743  10.0036 19802   -3.2982e+07 0
7300 5755  10.0036 19882.4   -3.312e+07 0
7400 5768  10.0036 19963.9   -3.32698e+07 0
7500 5773  10.0036 20038   -3.33275e+07 0
7600 5784  10.0036 20124.6   -3.34547e+07 0
7700 5795  10.0036 20209.7   -3.3582e+07 0
7800 5809  10.0036 20309.2   -3.37445e+07 0
7900 5824  10.0036 20383.2   -3.3919e+07 0
8000 5831  10.0036 20473.6   -3.40006e+07 0
8100 5839  10.0036 20560.3   -3.40939e+07 0
8200 5851  10.0036 20637.8   -3.42342e+07 0
8300 5862  10.0036 20715.4   -3.4363e+07 0
8400 5871  10.0036 20800.7   -3.44686e+07 0
8500 5887  10.0036 20892.8   -3.46568e+07 0
8600 5898  10.0036 20967.6   -3.47864e+07 0
8700 5905  10.0036 21048   -3.4869e+07 0
8800 5913  10.1651 21112.5   -3.49636e+07 0
8900 5927  10.1651 21207.5   -3.51293e+07 0
9000 5937  10.1651 21288.1   -3.5248e+07 0
9100 5941  10.1651 21357.3   -3.52955e+07 0
9200 5951  10.1651 21433.8   -3.54144e+07 0
9300 5958  10.1651 21501.3   -3.54978e+07 0
9400 5973  10.1651 21586.4   -3.56767e+07 0
9500 5985  10.1651 21666.4   -3.58202e+07 0
9600 5993  10.1651 21736   -3.5916e+07 0
9700 5998  10.1651 21808.4   -3.5976e+07 0
9800 6005  10.1651 21900.2   -3.606e+07 0
9900 6010  10.1651 21984.5   -3.61201e+07 0
10000 6013  10.2387 22049.6   -3.61562e+07 0
10100 6022  10.2387 22123.3   -3.62645e+07 0
10200 6026  10.2387 22204   -3.63127e+07 0
10300 6032  10.2387 22274.9   -3.6385e+07 0
10400 6037  10.2387 22338.6   -3.64454e+07 0
10500 6041  10.2387 22412.6   -3.64937e+07 0
10600 6044  10.2387 22480.5   -3.65299e+07 0
10700 6050  10.2387 22567.6   -3.66025e+07 0
10800 6059  10.2387 22647.2   -3.67115e+07 0
10900 6063  10.2387 22711.5   -3.676e+07 0
11000 6067  10.2387 22790.7   -3.68085e+07 0
11100 6072  10.2387 22860.8   -3.68692e+07 0
11200 6079  10.2387 22931.6   -3.69542e+07 0
11300 6086  10.2387 22991.1   -3.70394e+07 0
11400 6094  10.2387 23057.7   -3.71368e+07 0
11500 6099  10.2387 23114.7   -3.71978e+07 0
11600 6105  10.2387 23180.8   -3.7271e+07 0
11700 6112  10.2387 23250.2   -3.73565e+07 0
11800 6116  10.2387 23297.8   -3.74055e+07 0
11900 6119  10.2387 23360.8   -3.74422e+07 0
12000 6124  10.2387 23422.8   -3.75034e+07 0
12100 6126  10.2387 23499.9   -3.75279e+07 0
12200 6133  10.2387 23574.3   -3.76137e+07 0
12300 6140  10.2387 23633.7   -3.76996e+07 0
12400 6142  10.2387 23703.7   -3.77242e+07 0
12500 6145  10.2387 23759.1   -3.7761e+07 0
12600 6146  10.2387 23822   -3.77733e+07 0
12700 6148  10.2387 23886.3   -3.77979e+07 0
12800 6150  10.2387 23941.5   -3.78225e+07 0
12900 6153  10.4725 24006.6   -3.78594e+07 0
13000 6157  10.4725 24064   -3.79086e+07 0
13100 6159  10.4725 24114   -3.79333e+07 0
13200 6165  10.4725 24169.5   -3.80072e+07 0
13300 6168  10.4725 24228   -3.80442e+07 0
13400 6173  10.4725 24277.4   -3.81059e+07 0
13500 6179  10.4725 24330.2   -3.818e+07 0
13600 6182  10.4725 24376.2   -3.82171e+07 0
13700 6187  10.4725 24423.9   -3.8279e+07 0
13800 6188  10.4725 24469   -3.82913e+07 0
13900 6191  10.4725 24514   -3.83285e+07 0
14000 6194  10.4725 24564.8   -3.83656e+07 0
14100 6197  10.4725 24607.7   -3.84028e+07 0
14200 6197  10.4725 24647.6   -3.84028e+07 0
14300 6200  10.4725 24701.1   -3.844e+07 0
14400 6202  10.4725 24743.9   -3.84648e+07 0
14500 6206  10.4725 24786.5   -3.85144e+07 0
14600 6209  10.4725 24839   -3.85517e+07 0
14700 6212  10.4725 24886.3   -3.85889e+07 0
14800 6213  10.4725 24929.8   -3.86014e+07 0
14900 6214  10.4725 24979.6   -3.86138e+07 0
15000 6217  10.5269 25019   -3.86511e+07 0
15100 6221  10.5269 25054.2   -3.87008e+07 0
15200 6222  10.5269 25095.7   -3.87133e+07 0
15300 6225  10.5269 25127.6   -3.87506e+07 0
15400 6227  10.5269 25169.5   -3.87755e+07 0
15500 6231  10.5269 25212.2   -3.88254e+07 0
