0 70  2.16078 25.4596   -1618 121.501
100 2563  4.77919 3266.81   -1.71246e+06 58224.2
200 3452  4.77919 5347.46   -2.67174e+06 88591.3
300 4034  5.07641 6871.7   -3.32805e+06 104658
400 4383  5.07641 8049.97   -3.75652e+06 114620
500 4615  5.18753 9075.99   -4.04333e+06 120500
600 4816  5.4511 9965.65   -4.27776e+06 125255
700 4983  5.96675 10711.2   -4.47844e+06 128573
800 5133  6.18751 11405.5   -4.66912e+06 130949
900 5248  6.18751 12002.8   -4.81662e+06 132751
1000 5352  6.18751 12580.3   -4.94764e+06 134188
1100 5433  6.41141 13087.7   -5.04598e+06 136401
1200 5499  6.41141 13557.3   -5.12494e+06 137516
1300 5562  6.41141 13974.7   -5.20877e+06 139702
1400 5618  6.41141 14383   -5.2757e+06 141031
1500 5668  6.49435 14756.1   -5.33985e+06 142098
1600 5732  6.78566 15137.2   -5.41376e+06 143694
1700 5780  6.84705 15448.4   -5.47007e+06 144960
1800 5829  7.02455 15769.8   -5.53009e+06 146487
1900 5867  7.02455 16066.7   -5.58554e+06 147554
2000 5911  7.10864 16364.8   -5.64497e+06 148891
2100 5945  7.16897 16633.9   -5.68626e+06 149701
2200 5979  7.24021 16906.6   -5.73048e+06 150578
2300 6005  7.24021 17144.1   -5.76359e+06 151161
2400 6032  7.24021 17389.7   -5.79673e+06 151657
2500 6054  7.24021 17614.1   -5.83206e+06 152467
2600 6066  7.41693 17806   -5.84947e+06 152814
2700 6102  7.41693 18053.5   -5.9063e+06 153957
2800 6137  7.43643 18265.7   -5.95456e+06 154861
2900 6167  7.43643 18476.7   -5.99286e+06 155816
3000 6183  7.43643 18667.5   -6.01617e+06 156362
3100 6201  7.48703 18869.8   -6.04141e+06 156574
3200 6222  7.48703 19068.4   -6.06814e+06 156658
3300 6245  7.48703 19238.1   -6.09502e+06 157092
3400 6261  7.63151 19411.9   -6.1134e+06 157530
3500 6277  7.63151 19576.1   -6.1341e+06 157823
3600 6301  7.63151 19740.7   -6.16428e+06 158451
3700 6325  7.63151 19908   -6.1928e+06 158944
3800 6341  7.63151 20064.7   -6.21472e+06 159225
3900 6356  7.63151 20227.4   -6.23656e+06 159593
4000 6366  7.63151 20376.3   -6.2505e+06 159932
4100 6379  7.92106 20526   -6.26817e+06 160052
4200 6395  7.92106 20681.7   -6.29087e+06 160372
4300 6408  8.07933 20823.2   -6.30741e+06 160610
4400 6418  8.07933 20967.5   -6.3221e+06 160876
4500 6434  8.07933 21101.8   -6.34542e+06 161242
4600 6447  8.20896 21218.5   -6.36334e+06 161740
4700 6455  8.20896 21337.5   -6.37501e+06 161924
4800 6467  8.20896 21440.7   -6.39313e+06 162212
4900 6476  8.20896 21561.8   -6.40853e+06 162370
5000 6483  8.32319 21668   -6.41937e+06 162590
5100 6491  8.32319 21775.2   -6.42944e+06 162754
5200 6506  8.32319 21903.9   -6.45468e+06 163044
5300 6518  8.32319 22022.2   -6.46885e+06 163386
5400 6529  8.47116 22131.7   -6.48499e+06 163516
5500 6535  8.47116 22242.8   -6.49122e+06 163597
5600 6545  8.47116 22353.5   -6.50347e+06 163708
5700 6554  8.47116 22466.1   -6.51529e+06 163943
5800 6561  8.47116 22564.9   -6.52364e+06 164045
5900 6569  8.47116 22663.7   -6.53599e+06 164274
6000 6580  8.47116 22766.5   -6.54666e+06 164486
6100 6588  8.78933 22857.8   -6.55692e+06 164571
6200 6597  8.78933 22949   -6.57027e+06 164639
6300 6607  8.78933 23053.8   -6.58353e+06 164992
6400 6617  8.78933 23173   -6.59703e+06 165174
6500 6627  8.78933 23271.4   -6.61047e+06 165454
6600 6636  8.78933 23368.9   -6.6204e+06 165549
6700 6643  8.78933 23476.4   -6.62966e+06 165637
6800 6654  8.78933 23566   -6.64302e+06 165743
6900 6667  8.78933 23660.6   -6.66278e+06 166137
7000 6677  8.78933 23742.5   -6.67677e+06 166399
7100 6683  8.78933 23818.2   -6.68609e+06 166539
7200 6698  8.78933 23918.1   -6.70648e+06 166675
7300 6704  8.78933 24012.6   -6.71604e+06 166805
7400 6713  8.78933 24112.6   -6.72891e+06 166901
7500 6725  8.78933 24210.1   -6.7456e+06 167305
7600 6735  8.95716 24294.4   -6.7609e+06 167466
7700 6739  9.19448 24369.9   -6.76674e+06 167485
7800 6748  9.19448 24465.6   -6.7786e+06 167709
7900 6756  9.19448 24552.1   -6.78886e+06 167769
8000 6765  9.19448 24645.9   -6.80145e+06 167823
8100 6773  9.19448 24726.4   -6.81342e+06 167906
8200 6778  9.19448 24802   -6.81975e+06 167948
8300 6791  9.24976 24886.3   -6.8342e+06 168308
8400 6793  9.24976 24946.9   -6.83844e+06 168381
8500 6797  9.24976 25014.4   -6.84318e+06 168484
8600 6804  9.24976 25090.6   -6.85477e+06 168653
8700 6809  9.24976 25158.3   -6.86083e+06 168676
8800 6814  9.24976 25215.2   -6.86726e+06 168826
8900 6820  9.24976 25289.2   -6.87431e+06 168936
9000 6827  9.24976 25372.4   -6.88471e+06 169130
9100 6833  9.24976 25434.8   -6.89376e+06 169205
9200 6838  9.24976 25512.3   -6.9037e+06 169367
9300 6845  9.24976 25581.2   -6.91338e+06 169454
9400 6851  9.24976 25653.8   -6.91984e+06 169640
9500 6859  9.24976 25727.9   -6.92842e+06 169777
9600 6863  9.28388 25792.3   -6.93439e+06 169797
9700 6865  9.28388 25858   -6.93689e+06 169802
9800 6867  9.28388 25921.9   -6.939e+06 169852
9900 6874  9.28388 25989   -6.94746e+06 169985
10000 6878  9.28388 26050.2   -6.95309e+06 170123
10100 6886  9.28876 26112.1   -6.96507e+06 170384
10200 6896  9.28876 26183.7   -6.98162e+06 170586
10300 6900  9.28876 26246.5   -6.98784e+06 170698
10400 6901  9.28876 26305.5   -6.9883e+06 170751
10500 6907  9.35678 26377   -6.99662e+06 170838
10600 6909  9.35678 26433.7   -6.99936e+06 170843
10700 6913  9.35678 26495.4   -7.00342e+06 170928
10800 6917  9.36127 26558   -7.00846e+06 170923
10900 6918  9.44659 26614.8   -7.01041e+06 170941
11000 6921  9.44659 26671.8   -7.01507e+06 170917
11100 6929  9.44659 26753.1   -7.02521e+06 171050
11200 6933  9.44659 26815.7   -7.03356e+06 171231
11300 6939  9.44659 26885.2   -7.04218e+06 171443
11400 6943  9.44659 26950.1   -7.04811e+06 171475
11500 6946  9.44659 27003.6   -7.0546e+06 171603
11600 6950  9.44659 27060.9   -7.06008e+06 171653
11700 6960  9.44659 27109.5   -7.0756e+06 171767
11800 6965  9.44659 27163.9   -7.08182e+06 171810
11900 6967  9.44659 27209.3   -7.08481e+06 171982
12000 6969  9.44659 27257.7   -7.08696e+06 172001
12100 6972  9.44659 27320.2   -7.09175e+06 172072
12200 6975  9.44659 27378.5   -7.09671e+06 172183
12300 6981  9.44659 27448.8   -7.1053e+06 172232
12400 6985  9.44659 27500.2   -7.11162e+06 172261
12500 6989  9.44659 27555.5   -7.11799e+06 172315
12600 6993  9.44659 27606.1   -7.12316e+06 172398
12700 7001  9.44659 27669.9   -7.13786e+06 172650
12800 7007  9.48758 27727   -7.1461e+06 172797
12900 7009  9.48758 27789.4   -7.14866e+06 172839
13000 7013  9.48758 27842.3   -7.15504e+06 172878
13100 7017  9.48758 27893   -7.16068e+06 172887
13200 7020  9.48758 27938.5   -7.16518e+06 172966
13300 7022  9.48758 27991   -7.16801e+06 172971
13400 7029  9.48758 28048.9   -7.17806e+06 173094
13500 7032  9.48758 28103.4   -7.18083e+06 173160
13600 7038  9.48758 28156.7   -7.18657e+06 173282
13700 7042  9.48758 28210.1   -7.19449e+06 173449
13800 7046  9.48758 28269.6   -7.19941e+06 173566
13900 7048  9.48758 28312.5   -7.20292e+06 173554
14000 7051  9.48758 28353   -7.20526e+06 173636
14100 7053  9.48758 28396.1   -7.20868e+06 173655
14200 7058  9.48758 28446.5   -7.21504e+06 173723
14300 7061  9.48758 28486.7   -7.22e+06 173758
14400 7063  9.50043 28540.9   -7.22356e+06 173744
14500 7064  9.50043 28589.2   -7.22535e+06 173784
14600 7067  9.50043 28628.5   -7.22876e+06 173797
14700 7068  9.55825 28673   -7.22948e+06 173831
14800 7070  9.55825 28718.5   -7.23178e+06 173850
14900 7072  9.55825 28764.7   -7.23407e+06 173863
15000 7072  9.55825 28804.8   -7.23407e+06 173863
15100 7075  9.55825 28847.1   -7.23733e+06 173899
15200 7081  9.55825 28886.1   -7.24611e+06 174012
15300 7084  9.55825 28915.8   -7.25013e+06 174069
15400 7087  9.55825 28954   -7.2544e+06 174125
15500 7090  9.55825 28990.7   -7.25866e+06 174129
15600 7094  9.55825 29035.8   -7.26403e+06 174147
15700 7096  9.55825 29094.1   -7.26635e+06 174143
15800 7098  9.55825 29138.9   -7.26916e+06 174168
15900 7100  9.55825 29176.5   -7.27214e+06 174161
16000 7103  9.60367 29219   -7.27593e+06 174214
16100 7105  9.60367 29271.4   -7.2796e+06 174229
16200 7110  9.60367 29314.5   -7.28608e+06 174368
16300 7114  9.60367 29356.6   -7.29126e+06 174419
16400 7117  9.60367 29394.2   -7.29566e+06 174413
16500 7120  9.60367 29432.2   -7.29879e+06 174450
16600 7127  9.60367 29472   -7.30649e+06 174509
16700 7128  9.60367 29507.5   -7.30737e+06 174525
16800 7132  9.60367 29555.9   -7.31225e+06 174624
16900 7134  9.60367 29592.2   -7.31492e+06 174646
17000 7139  9.60367 29628.3   -7.32148e+06 174743
17100 7143  9.60367 29668.5   -7.32686e+06 174872
17200 7147  9.60367 29713.8   -7.33084e+06 174900
17300 7150  9.60367 29750.1   -7.33525e+06 174930
17400 7151  9.60367 29790.9   -7.33623e+06 174957
17500 7153  9.60367 29834.8   -7.33953e+06 174963
17600 7154  9.60367 29878   -7.34083e+06 174952
17700 7156  9.60367 29917   -7.34269e+06 174988
17800 7161  9.60367 29958.3   -7.35195e+06 175042
17900 7162  9.60367 29998.9   -7.35308e+06 175046
18000 7164  9.60367 30022.5   -7.35542e+06 175049
18100 7168  9.60367 30058.4   -7.36089e+06 175096
18200 7171  9.60367 30085.9   -7.36593e+06 175112
18300 7173  9.60367 30117.5   -7.36896e+06 175114
18400 7178  9.60367 30156   -7.37651e+06 175325
18500 7180  9.60367 30186.3   -7.38008e+06 175366
18600 7182  9.60367 30217.2   -7.38161e+06 175414
18700 7184  9.60367 30252.3   -7.38417e+06 175447
18800 7188  9.60367 30286.2   -7.38989e+06 175545
18900 7189  9.60367 30322.4   -7.39077e+06 175555
19000 7190  9.60367 30350.9   -7.39145e+06 175584
19100 7190  9.7127 30379.2   -7.39145e+06 175584
19200 7192  9.7127 30414.5   -7.3936e+06 175610
19300 7196  9.7127 30450.3   -7.39791e+06 175647
19400 7199  9.7127 30489.5   -7.40375e+06 175800
19500 7201  9.7127 30522.8   -7.40622e+06 175850
19600 7204  9.7127 30560.8   -7.41008e+06 175918
19700 7204  9.7127 30594.6   -7.41008e+06 175918
19800 7204  9.7127 30630   -7.41008e+06 175918
19900 7205  9.7127 30658.2   -7.41144e+06 175914
20000 7206  9.7127 30692.2   -7.41288e+06 175905
20100 7207  9.7127 30716.3   -7.41438e+06 175896
20200 7208  9.7127 30742.5   -7.41596e+06 175887
20300 7208  9.7127 30771   -7.41596e+06 175887
20400 7213  9.7127 30804.8   -7.42276e+06 176047
20500 7216  9.7127 30835.2   -7.42629e+06 176084
20600 7216  9.7127 30860.7   -7.42629e+06 176084
20700 7218  9.7127 30904.8   -7.4303e+06 176218
20800 7219  9.7127 30936.7   -7.43178e+06 176209
20900 7221  9.7127 30959.8   -7.43424e+06 176202
21000 7223  9.7127 30981.3   -7.43672e+06 176213
21100 7226  9.7127 31005.5   -7.44162e+06 176258
21200 7227  9.7127 31041.7   -7.44281e+06 176257
21300 7231  9.7127 31068.5   -7.44819e+06 176375
21400 7233  9.7127 31096.9   -7.45108e+06 176426
21500 7235  9.7127 31125.6   -7.45542e+06 176430
21600 7237  9.7127 31145.9   -7.45817e+06 176412
21700 7237  9.7127 31169.8   -7.45817e+06 176412
21800 7239  9.7127 31208.1   -7.46047e+06 176434
21900 7240  9.7127 31237.7   -7.46157e+06 176433
22000 7241  9.7127 31266.2   -7.46242e+06 176448
22100 7243  9.75896 31295.8   -7.46545e+06 176451
22200 7244  9.75896 31323.4   -7.46734e+06 176441
22300 7244  9.75896 31351.7   -7.46734e+06 176441
22400 7244  9.75896 31374.8   -7.46734e+06 176441
22500 7245  9.75896 31401.7   -7.46842e+06 176444
22600 7246  9.75896 31431.9   -7.46921e+06 176462
22700 7247  9.75896 31451.2   -7.47005e+06 176479
22800 7249  9.75896 31492.1   -7.47278e+06 176498
22900 7249  9.75896 31518.3   -7.47278e+06 176498
23000 7250  9.75896 31541.5   -7.47396e+06 176487
23100 7250  9.75896 31567.3   -7.47396e+06 176487
23200 7252  9.75896 31593   -7.4755e+06 176552
23300 7253  9.75896 31613.5   -7.47708e+06 176539
23400 7253  9.75896 31636.3   -7.47708e+06 176539
23500 7255  9.75896 31657.5   -7.4799e+06 176580
23600 7257  9.75896 31678.9   -7.48082e+06 176675
23700 7258  9.75896 31705.5   -7.48175e+06 176688
23800 7260  9.75896 31728.5   -7.48314e+06 176765
23900 7260  9.75896 31752.2   -7.48314e+06 176765
24000 7260  9.75896 31772.9   -7.48314e+06 176765
24100 7260  9.75896 31797.4   -7.48314e+06 176765
24200 7261  9.75896 31817.7   -7.48398e+06 176793
24300 7264  9.75896 31843.8   -7.48863e+06 176765
24400 7266  9.75896 31867.2   -7.49168e+06 176783
24500 7270  9.75896 31895.5   -7.49708e+06 176816
24600 7270  9.75896 31920.2   -7.49708e+06 176816
24700 7274  9.75896 31943.7   -7.50342e+06 176945
24800 7275  9.75896 31967.6   -7.50422e+06 176958
24900 7278  9.75896 31994.6   -7.50891e+06 177046
25000 7278  9.75896 32018.1   -7.50891e+06 177046
25100 7279  9.75896 32036.2   -7.50948e+06 177085
25200 7279  9.75896 32058.7   -7.50948e+06 177085
25300 7280  9.75896 32073.8   -7.51097e+06 177078
25400 7280  9.75896 32090.1   -7.51097e+06 177078
25500 7280  9.75896 32113.4   -7.51097e+06 177078
25600 7282  9.75896 32142   -7.5144e+06 177104
25700 7283  9.75896 32163.5   -7.51618e+06 177103
25800 7283  9.75896 32184.7   -7.51618e+06 177103
25900 7284  9.75896 32204   -7.51682e+06 177142
26000 7287  9.75896 32226.3   -7.5209e+06 177110
26100 7290  9.75896 32248.1   -7.52464e+06 177203
26200 7293  9.75896 32277.7   -7.53044e+06 177264
26300 7294  9.75896 32298.5   -7.53106e+06 177295
26400 7295  9.75896 32321.4   -7.5322e+06 177298
26500 7295  9.75896 32350.1   -7.5322e+06 177298
26600 7296  9.75896 32377.8   -7.53415e+06 177358
26700 7298  9.75896 32398.3   -7.53702e+06 177414
26800 7298  9.75896 32421.5   -7.53702e+06 177414
26900 7298  9.75896 32445.3   -7.53702e+06 177414
27000 7298  9.75896 32464.5   -7.53702e+06 177414
27100 7300  9.75896 32484.6   -7.5394e+06 177420
27200 7302  9.75896 32502.3   -7.54123e+06 177464
27300 7302  9.75896 32523.4   -7.54123e+06 177464
27400 7302  9.75896 32538.2   -7.54123e+06 177464
27500 7303  9.75896 32566.9   -7.54333e+06 177510
27600 7304  9.75896 32591.4   -7.54484e+06 177495
27700 7305  9.75896 32613.3   -7.54649e+06 177505
27800 7305  9.75896 32641.5   -7.54649e+06 177505
27900 7307  9.75896 32665.3   -7.5499e+06 177508
28000 7308  9.75896 32682.6   -7.55115e+06 177518
28100 7308  9.75896 32701   -7.55115e+06 177518
28200 7308  9.75896 32724.1   -7.55115e+06 177518
28300 7310  9.75896 32749.6   -7.554e+06 177519
28400 7312  9.75896 32777.4   -7.55661e+06 177620
28500 7313  9.75896 32802.8   -7.55768e+06 177637
28600 7313  9.75896 32833.6   -7.55768e+06 177637
28700 7314  9.75896 32847.8   -7.55845e+06 177661
28800 7314  9.75896 32870.1   -7.55845e+06 177661
28900 7315  9.75896 32887.2   -7.55966e+06 177655
29000 7317  9.75896 32908.6   -7.56148e+06 177703
29100 7319  9.75896 32933.3   -7.56284e+06 177761
29200 7320  9.75896 32948.2   -7.56395e+06 177756
29300 7320  9.75896 32970.9   -7.56395e+06 177756
29400 7320  9.75896 32990.4   -7.56395e+06 177756
29500 7322  9.75896 33014.7   -7.56682e+06 177755
29600 7324  9.75896 33033.5   -7.57035e+06 177737
29700 7325  9.75896 33049   -7.57119e+06 177747
29800 7325  9.75896 33063.7   -7.57119e+06 177747
29900 7325  9.75896 33082.3   -7.57119e+06 177747
30000 7327  9.75896 33111.8   -7.5733e+06 177787
30100 7329  9.75896 33138.9   -7.57699e+06 177826
30200 7331  9.75896 33164.3   -7.58146e+06 178006
30300 7331  9.75896 33188.5   -7.58146e+06 178006
30400 7333  9.75896 33217.5   -7.58566e+06 178124
30500 7335  9.75896 33236.9   -7.58879e+06 178137
30600 7336  9.75896 33260.8   -7.59038e+06 178151
30700 7337  9.75896 33281.6   -7.59174e+06 178148
30800 7338  9.75896 33305.2   -7.59334e+06 178178
30900 7338  9.75896 33322   -7.59334e+06 178178
31000 7340  9.75896 33344.7   -7.59572e+06 178200
31100 7340  9.75896 33360.9   -7.59572e+06 178200
31200 7341  9.75896 33382.6   -7.59753e+06 178244
31300 7341  9.75896 33404.8   -7.59753e+06 178244
31400 7342  9.75896 33418.9   -7.59921e+06 178245
31500 7343  9.75896 33438.3   -7.60126e+06 178249
31600 7343  9.75896 33457.9   -7.60126e+06 178249
31700 7343  9.75896 33472.6   -7.60126e+06 178249
31800 7345  9.75896 33501.1   -7.60423e+06 178322
31900 7347  9.75896 33530.5   -7.60616e+06 178367
32000 7347  9.75896 33550.9   -7.60616e+06 178367
32100 7347  9.75896 33568   -7.60616e+06 178367
32200 7349  9.75896 33584.8   -7.60915e+06 178352
32300 7350  9.75896 33614.2   -7.60996e+06 178371
32400 7351  9.75896 33633.7   -7.61102e+06 178369
32500 7352  9.75896 33648   -7.61169e+06 178397
