0 398  1.549 -1.60022   -30412 1495.64
11500 9005  11.2565 41332.4   -9.86676e+06 203972
11600 9008  11.2565 41442.8   -9.87242e+06 204023
11700 9011  11.2565 41543.8   -9.87835e+06 204032
11800 9011  11.3806 41651.1   -9.87835e+06 204032
11900 9012  11.3806 41766.4   -9.87985e+06 204021
12000 9014  11.3806 41873.6   -9.88333e+06 204061
12100 9015  11.3806 41971.8   -9.88531e+06 204080
12200 9016  11.3806 42076.3   -9.88742e+06 204134
12300 9019  11.3806 42185.8   -9.89138e+06 204190
12400 9020  11.3806 42261.4   -9.89289e+06 204187
12500 9022  11.3806 42362.3   -9.89624e+06 204218
12600 9023  11.3806 42457   -9.89813e+06 204215
12700 9025  11.4677 42560.5   -9.90203e+06 204238
12800 9026  11.4677 42672.3   -9.90397e+06 204255
12900 9026  11.4677 42752.5   -9.90397e+06 204255
13000 9026  11.5332 42850.7   -9.90397e+06 204255
13100 9028  11.5332 42934.3   -9.90686e+06 204296
13200 9030  11.5332 43038.2   -9.91091e+06 204323
13300 9031  11.5332 43137   -9.91256e+06 204339
13400 9031  11.5332 43227   -9.91256e+06 204339
13500 9033  11.5332 43329.1   -9.91632e+06 204386
13600 9036  11.5332 43438.7   -9.92181e+06 204481
13700 9039  11.5332 43534.2   -9.92656e+06 204539
13800 9039  11.5332 43629.6   -9.92656e+06 204539
13900 9040  11.8353 43707.8   -9.92882e+06 204581
14000 9044  11.8353 43808.4   -9.93575e+06 204562
14100 9045  11.8353 43887   -9.93699e+06 204560
14200 9045  11.8353 43953.3   -9.93699e+06 204560
14300 9047  11.8353 44035.7   -9.94008e+06 204666
14400 9049  11.8353 44098.2   -9.94392e+06 204697
14500 9049  11.8353 44180.8   -9.94392e+06 204697
14600 9050  11.8353 44275.5   -9.94559e+06 204725
14700 9053  11.8353 44361.6   -9.95021e+06 204780
14800 9054  11.8353 44451.1   -9.95156e+06 204776
14900 9055  11.8353 44535.1   -9.95324e+06 204785
15000 9055  11.8353 44622.1   -9.95324e+06 204785
15100 9057  11.8353 44705.8   -9.95574e+06 204801
15200 9059  11.8353 44775.9   -9.95894e+06 204809
15300 9061  11.8353 44841.9   -9.9622e+06 204886
15400 9065  11.8353 44912.7   -9.96984e+06 204981
15500 9068  11.987 45004.8   -9.97526e+06 205034
15600 9068  11.987 45071.7   -9.97526e+06 205034
15700 9070  11.987 45147.7   -9.97897e+06 205100
15800 9072  11.987 45225.1   -9.98166e+06 205136
15900 9074  11.987 45296.1   -9.98443e+06 205138
16000 9075  11.987 45374.2   -9.98646e+06 205182
16100 9077  11.987 45453.3   -9.9908e+06 205241
16200 9078  11.987 45540.3   -9.99313e+06 205286
16300 9079  11.987 45606.8   -9.99498e+06 205279
16400 9079  11.987 45666   -9.99498e+06 205279
16500 9082  11.987 45738.5   -9.99907e+06 205298
16600 9083  11.987 45818.1   -1.0001e+07 205332
16700 9085  11.987 45882.6   -1.00038e+07 205329
16800 9085  11.987 45956.6   -1.00038e+07 205329
16900 9085  11.987 46020.4   -1.00038e+07 205329
17000 9085  11.987 46089.4   -1.00038e+07 205329
17100 9085  11.987 46161.2   -1.00038e+07 205329
17200 9085  11.987 46233.3   -1.00038e+07 205329
17300 9086  12.0116 46312.3   -1.00061e+07 205385
17400 9088  12.0116 46374.1   -1.00089e+07 205402
17500 9090  12.0116 46444.7   -1.00122e+07 205477
17600 9090  12.0213 46507.9   -1.00122e+07 205477
17700 9091  12.0213 46581.6   -1.00147e+07 205550
17800 9092  12.1421 46650.4   -1.00171e+07 205594
17900 9092  12.1421 46715.6   -1.00171e+07 205594
18000 9094  12.1421 46788.9   -1.00198e+07 205625
18100 9095  12.1421 46864.4   -1.0022e+07 205653
18200 9095  12.1421 46932.5   -1.0022e+07 205653
18300 9096  12.1421 46992.7   -1.00235e+07 205651
18400 9096  12.1421 47061   -1.00235e+07 205651
18500 9097  12.1421 47121.2   -1.00249e+07 205665
18600 9097  12.1421 47190.2   -1.00249e+07 205665
18700 9098  12.1421 47268   -1.00273e+07 205727
18800 9099  12.3289 47334.1   -1.00291e+07 205746
18900 9099  12.4118 47393.5   -1.00291e+07 205746
19000 9099  12.4118 47456.5   -1.00291e+07 205746
19100 9099  12.4118 47513.5   -1.00291e+07 205746
19200 9099  12.4118 47567.5   -1.00291e+07 205746
19300 9100  12.4118 47639.7   -1.00302e+07 205747
19400 9101  12.575 47696   -1.00317e+07 205742
19500 9102  12.6614 47757.4   -1.00327e+07 205753
19600 9102  12.6614 47822.4   -1.00327e+07 205753
19700 9104  12.6614 47883.9   -1.00357e+07 205781
19800 9104  12.6614 47947.9   -1.00357e+07 205781
19900 9105  12.6614 47996.8   -1.00367e+07 205794
20000 9106  12.6614 48050.3   -1.00377e+07 205803
20100 9107  12.6614 48112.1   -1.00393e+07 205816
20200 9108  12.6614 48190.2   -1.00416e+07 205870
20300 9108  12.6614 48242.7   -1.00416e+07 205870
20400 9108  12.6614 48301.4   -1.00416e+07 205870
20500 9110  12.6614 48378.5   -1.00446e+07 205889
20600 9111  12.6614 48446   -1.0046e+07 205914
20700 9112  12.6614 48500.5   -1.00469e+07 205926
20800 9114  12.6614 48558.1   -1.00507e+07 206007
20900 9114  12.6614 48603.1   -1.00507e+07 206007
21000 9114  12.6614 48658.6   -1.00507e+07 206007
21100 9115  12.6614 48712.8   -1.00516e+07 206020
21200 9115  12.6614 48787.6   -1.00516e+07 206020
21300 9116  12.6614 48844.5   -1.00535e+07 206052
21400 9116  12.6614 48893.1   -1.00535e+07 206052
21500 9117  12.6733 48952.2   -1.00545e+07 206068
21600 9119  12.6733 49000.4   -1.0057e+07 206072
21700 9119  12.6733 49060.5   -1.0057e+07 206072
21800 9119  12.6733 49112.2   -1.0057e+07 206072
21900 9119  12.6733 49164.1   -1.0057e+07 206072
22000 9120  12.6733 49212.7   -1.00585e+07 206099
22100 9120  12.6733 49257.1   -1.00585e+07 206099
22200 9120  12.6733 49297.1   -1.00585e+07 206099
22300 9120  12.6733 49362.5   -1.00585e+07 206099
22400 9122  12.6733 49415.8   -1.00618e+07 206113
22500 9122  12.6733 49464.4   -1.00618e+07 206113
22600 9122  12.6733 49514   -1.00618e+07 206113
22700 9123  12.6733 49562.2   -1.00633e+07 206106
22800 9123  12.6733 49613.2   -1.00633e+07 206106
22900 9125  12.6733 49662.6   -1.00662e+07 206156
23000 9126  12.6733 49714.7   -1.00675e+07 206169
23100 9126  12.6733 49759.4   -1.00675e+07 206169
23200 9126  12.6733 49816   -1.00675e+07 206169
23300 9126  12.6733 49862.4   -1.00675e+07 206169
23400 9127  12.6733 49912.7   -1.00689e+07 206186
23500 9127  12.9344 49959.8   -1.00689e+07 206186
23600 9127  12.9344 50005.6   -1.00689e+07 206186
23700 9128  12.9344 50050.7   -1.0071e+07 206216
23800 9129  12.9344 50095.4   -1.0073e+07 206233
23900 9130  12.9344 50146.7   -1.00748e+07 206251
24000 9130  12.9344 50196.1   -1.00748e+07 206251
24100 9130  12.9344 50236   -1.00748e+07 206251
24200 9130  12.9344 50287.1   -1.00748e+07 206251
24300 9131  12.9344 50340.6   -1.0076e+07 206251
24400 9131  12.9344 50390.1   -1.0076e+07 206251
24500 9131  12.9344 50425.9   -1.0076e+07 206251
24600 9131  12.9344 50474.4   -1.0076e+07 206251
24700 9133  12.9344 50508.8   -1.00794e+07 206303
24800 9133  12.9344 50551.7   -1.00794e+07 206303
24900 9133  12.9344 50592.5   -1.00794e+07 206303
25000 9135  12.9344 50641.9   -1.00827e+07 206334
25100 9135  12.9344 50685.8   -1.00827e+07 206334
25200 9136  12.9344 50733   -1.0084e+07 206347
25300 9137  12.9344 50782.2   -1.00859e+07 206383
25400 9137  12.9344 50815.4   -1.00859e+07 206383
25500 9138  12.9344 50868.4   -1.00884e+07 206447
25600 9138  12.9344 50912.6   -1.00884e+07 206447
25700 9138  12.9344 50952.8   -1.00884e+07 206447
25800 9138  12.9344 50992.9   -1.00884e+07 206447
25900 9139  12.9344 51038.3   -1.00898e+07 206460
