0 3  0.64982 1.46783   -9 0
11400 5573  5.67015 16426.9   -5.38803e+06 142051
11500 5579  5.67015 16464.7   -5.39441e+06 142102
11600 5583  5.68405 16506.1   -5.40089e+06 142091
11700 5585  5.72592 16552.4   -5.40283e+06 142140
11800 5588  5.72592 16600.7   -5.4085e+06 142281
11900 5594  5.72592 16636.6   -5.41632e+06 142384
12000 5599  5.72592 16671.1   -5.42206e+06 142494
12100 5601  5.72592 16706   -5.42493e+06 142485
12200 5604  5.8334 16743.2   -5.42874e+06 142489
12300 5607  5.8334 16781   -5.4332e+06 142537
12400 5611  5.8334 16812.3   -5.43699e+06 142610
12500 5612  5.8334 16848.3   -5.4379e+06 142625
12600 5614  5.87443 16883.9   -5.44034e+06 142664
12700 5617  5.87443 16919.1   -5.44459e+06 142659
12800 5620  5.87443 16953.6   -5.44826e+06 142701
12900 5620  5.87443 16981   -5.44826e+06 142701
13000 5621  5.87443 17010   -5.44905e+06 142731
13100 5627  5.89252 17050.5   -5.4568e+06 142941
13200 5631  5.89252 17079.2   -5.46266e+06 142947
13300 5635  5.89252 17112.3   -5.4692e+06 143003
13400 5637  5.89252 17137   -5.47093e+06 143050
13500 5641  5.89252 17173.4   -5.47662e+06 143157
13600 5644  5.89252 17201.5   -5.48112e+06 143183
13700 5645  5.89252 17225.9   -5.48259e+06 143198
13800 5646  5.89252 17250.8   -5.48334e+06 143229
13900 5649  5.89252 17282.3   -5.48577e+06 143310
14000 5651  5.89252 17311.6   -5.48808e+06 143345
14100 5653  5.89252 17343   -5.49106e+06 143372
14200 5656  6.01018 17376.1   -5.49477e+06 143486
14300 5662  6.01018 17410.2   -5.50354e+06 143657
14400 5665  6.01018 17443.6   -5.50832e+06 143712
14500 5668  6.01018 17473.3   -5.51347e+06 143847
14600 5672  6.01018 17503   -5.51833e+06 143892
14700 5674  6.01018 17533.5   -5.52094e+06 143948
14800 5681  6.01018 17562.6   -5.53009e+06 144086
14900 5687  6.01018 17590.7   -5.53917e+06 144240
15000 5691  6.01018 17615.6   -5.54452e+06 144345
15100 5694  6.01018 17647.4   -5.54833e+06 144349
15200 5698  6.01018 17676.2   -5.55217e+06 144391
15300 5701  6.01018 17700.8   -5.55563e+06 144418
15400 5705  6.01018 17725.5   -5.55952e+06 144492
15500 5711  6.01018 17764.7   -5.56664e+06 144653
15600 5714  6.01018 17792.2   -5.5697e+06 144696
15700 5721  6.01018 17815   -5.57813e+06 144862
15800 5721  6.01018 17842   -5.57813e+06 144862
15900 5725  6.01018 17865   -5.58323e+06 144897
16000 5727  6.01018 17886.5   -5.58586e+06 144988
16100 5733  6.01018 17917.7   -5.59345e+06 145245
16200 5734  6.01018 17938.2   -5.59458e+06 145266
16300 5736  6.01018 17960.7   -5.59774e+06 145308
16400 5737  6.01018 17986.2   -5.59973e+06 145346
16500 5742  6.01018 18020.1   -5.60769e+06 145475
16600 5744  6.01018 18044.7   -5.60951e+06 145525
16700 5748  6.01018 18066.2   -5.6143e+06 145573
16800 5751  6.01018 18090.8   -5.61742e+06 145652
16900 5753  6.01018 18113.4   -5.62015e+06 145688
17000 5755  6.01018 18134.6   -5.62248e+06 145744
17100 5760  6.02184 18155.1   -5.62795e+06 145871
17200 5763  6.04215 18175.8   -5.63403e+06 146008
17300 5765  6.04215 18193.6   -5.63574e+06 146077
17400 5769  6.04215 18218.6   -5.64169e+06 146193
17500 5771  6.04215 18236   -5.64437e+06 146221
17600 5772  6.04215 18260.2   -5.6453e+06 146229
17700 5774  6.04215 18283   -5.64907e+06 146307
17800 5774  6.04215 18312.2   -5.64907e+06 146307
17900 5777  6.04215 18339.5   -5.65419e+06 146313
18000 5780  6.04215 18356.4   -5.65818e+06 146302
18100 5783  6.04215 18379.2   -5.66248e+06 146296
18200 5784  6.04215 18402.2   -5.66334e+06 146328
18300 5789  6.04215 18427.7   -5.67038e+06 146531
18400 5792  6.04215 18448   -5.67502e+06 146575
18500 5794  6.04215 18469.4   -5.67836e+06 146664
18600 5794  6.04215 18484   -5.67836e+06 146664
18700 5798  6.04215 18499.1   -5.68249e+06 146763
18800 5801  6.04215 18517.8   -5.68676e+06 146837
18900 5807  6.04215 18543.4   -5.69508e+06 146935
19000 5813  6.14806 18565.4   -5.7022e+06 147011
19100 5817  6.14806 18584.8   -5.70717e+06 147017
19200 5818  6.14806 18601.2   -5.7088e+06 147017
19300 5825  6.14806 18621.3   -5.71789e+06 147094
19400 5832  6.14806 18640.7   -5.72676e+06 147227
19500 5835  6.14806 18661.3   -5.72982e+06 147254
19600 5839  6.14806 18683.1   -5.73514e+06 147442
19700 5840  6.17925 18699.1   -5.73609e+06 147458
19800 5846  6.17925 18720.2   -5.74389e+06 147598
19900 5848  6.17925 18741.8   -5.7477e+06 147661
20000 5850  6.17925 18760.8   -5.75016e+06 147715
20100 5853  6.21297 18780.8   -5.75443e+06 147756
20200 5854  6.28393 18798.4   -5.75516e+06 147783
20300 5860  6.28393 18818.7   -5.76331e+06 147878
20400 5862  6.28393 18831.7   -5.766e+06 147876
20500 5862  6.28393 18846.9   -5.766e+06 147876
20600 5866  6.28393 18864.4   -5.77091e+06 147926
20700 5867  6.28393 18879.2   -5.77195e+06 147937
20800 5871  6.28393 18903.5   -5.77714e+06 148009
20900 5875  6.28393 18926.4   -5.7831e+06 148125
21000 5878  6.28393 18940.9   -5.786e+06 148211
21100 5879  6.28393 18959.9   -5.78717e+06 148208
21200 5883  6.28393 18979.6   -5.79252e+06 148266
