0 18  -0.0226279 -3.60878   -324 0
11500 5667  5.69936 16265.9   -5.57194e+06 144952
11600 5674  5.81678 16292.2   -5.58199e+06 145112
11700 5680  5.81678 16318.4   -5.59081e+06 145323
11800 5683  5.81678 16347.2   -5.59508e+06 145427
11900 5683  5.81678 16379.9   -5.59508e+06 145427
12000 5688  5.81678 16408.4   -5.60149e+06 145465
12100 5691  5.81678 16435.4   -5.60485e+06 145495
12200 5695  5.90216 16463   -5.61029e+06 145649
12300 5697  5.90216 16488.4   -5.61225e+06 145729
12400 5701  5.90216 16511   -5.61779e+06 145771
12500 5702  5.90216 16537.7   -5.6189e+06 145768
12600 5702  5.90216 16563.5   -5.6189e+06 145768
12700 5706  5.90216 16594.7   -5.62483e+06 145860
12800 5711  5.90216 16624.3   -5.63226e+06 146014
12900 5715  5.90216 16649.4   -5.63763e+06 146059
13000 5718  5.90216 16667.2   -5.6416e+06 146093
13100 5720  5.90216 16687.7   -5.64399e+06 146144
13200 5724  5.90216 16711.3   -5.64894e+06 146286
13300 5726  5.90216 16735.8   -5.65181e+06 146316
13400 5727  5.90216 16758.3   -5.65344e+06 146338
13500 5730  5.90216 16782.5   -5.65662e+06 146360
13600 5734  5.90216 16806.4   -5.66278e+06 146372
13700 5739  5.90216 16836.2   -5.66981e+06 146461
13800 5743  5.91197 16862.2   -5.67453e+06 146513
13900 5745  5.91197 16886.8   -5.67704e+06 146572
14000 5746  5.92375 16906.8   -5.67822e+06 146573
14100 5751  5.92375 16932.5   -5.68365e+06 146682
14200 5751  5.92375 16954.2   -5.68365e+06 146682
14300 5754  5.92375 16973   -5.68692e+06 146752
14400 5755  5.93763 16996.8   -5.68825e+06 146757
14500 5760  5.93763 17017.5   -5.69489e+06 146857
14600 5762  5.93763 17040.5   -5.69691e+06 146900
14700 5764  5.93763 17066.8   -5.69965e+06 146995
14800 5765  5.93763 17085.9   -5.70065e+06 147015
14900 5767  5.93763 17107.9   -5.70291e+06 147097
15000 5771  5.93763 17133.3   -5.7086e+06 147248
15100 5773  5.93763 17150.9   -5.71143e+06 147248
15200 5774  5.96924 17173.1   -5.71337e+06 147273
15300 5777  5.96924 17196.2   -5.71595e+06 147347
15400 5780  5.96924 17217.7   -5.71912e+06 147428
15500 5781  5.96924 17238.5   -5.72094e+06 147484
15600 5783  5.96924 17253.8   -5.72294e+06 147554
15700 5787  5.96924 17274.7   -5.72878e+06 147646
15800 5789  5.99618 17288.8   -5.73131e+06 147688
15900 5791  5.99744 17308   -5.73342e+06 147753
16000 5794  5.99744 17325.4   -5.73655e+06 147792
16100 5799  5.99744 17356.8   -5.74421e+06 147895
16200 5803  5.99744 17378.5   -5.7511e+06 148000
16300 5805  6.02481 17405.9   -5.75446e+06 148037
16400 5807  6.02481 17425.1   -5.75708e+06 148119
16500 5811  6.02481 17443.8   -5.76249e+06 148207
16600 5813  6.02481 17466.1   -5.76538e+06 148210
16700 5815  6.02481 17489.7   -5.76844e+06 148223
16800 5817  6.02481 17516.6   -5.77083e+06 148246
16900 5819  6.07921 17538.7   -5.77337e+06 148289
17000 5821  6.07921 17556.6   -5.77648e+06 148316
17100 5825  6.07921 17580   -5.78233e+06 148420
17200 5825  6.07921 17600.1   -5.78233e+06 148420
17300 5830  6.07921 17618.4   -5.78949e+06 148462
17400 5834  6.07921 17644.2   -5.79425e+06 148522
17500 5834  6.07921 17658.6   -5.79425e+06 148522
17600 5837  6.07921 17677.3   -5.79877e+06 148559
17700 5840  6.07921 17696   -5.80235e+06 148580
17800 5842  6.07921 17714.2   -5.80496e+06 148592
17900 5845  6.15263 17737.4   -5.80942e+06 148664
18000 5848  6.15263 17752.1   -5.81286e+06 148764
18100 5850  6.15263 17771.6   -5.81552e+06 148785
18200 5853  6.15263 17794.6   -5.81999e+06 148836
18300 5854  6.15263 17813   -5.82147e+06 148825
18400 5858  6.15263 17830.2   -5.82526e+06 148894
18500 5860  6.15263 17851.4   -5.82991e+06 148978
18600 5862  6.15263 17872.9   -5.83158e+06 149029
18700 5865  6.15263 17891.7   -5.83538e+06 149054
18800 5867  6.15263 17911   -5.8387e+06 149087
18900 5869  6.15263 17937.4   -5.84215e+06 149154
19000 5872  6.15263 17956.3   -5.84527e+06 149210
19100 5873  6.15263 17977.6   -5.84717e+06 149270
19200 5873  6.15263 17990.8   -5.84717e+06 149270
19300 5875  6.15263 18006.2   -5.84944e+06 149313
19400 5876  6.15263 18019.1   -5.85105e+06 149302
19500 5878  6.15263 18039.3   -5.85412e+06 149339
19600 5879  6.15263 18057.6   -5.85532e+06 149342
19700 5880  6.15263 18076   -5.85736e+06 149415
19800 5881  6.17365 18088.6   -5.85874e+06 149413
19900 5883  6.17365 18105.8   -5.86155e+06 149455
20000 5884  6.17365 18123.5   -5.86213e+06 149501
20100 5887  6.17365 18143.8   -5.86595e+06 149548
20200 5895  6.17365 18161.4   -5.87527e+06 149751
20300 5896  6.17365 18178   -5.87641e+06 149759
20400 5896  6.17365 18194.7   -5.87641e+06 149759
20500 5899  6.17365 18210.8   -5.88068e+06 149771
20600 5899  6.17365 18223   -5.88068e+06 149771
20700 5900  6.17365 18237.7   -5.88198e+06 149767
20800 5905  6.17365 18256.2   -5.88816e+06 149867
20900 5906  6.17365 18276.1   -5.88924e+06 149867
21000 5907  6.17365 18292.4   -5.89156e+06 149958
21100 5909  6.17365 18309.4   -5.89434e+06 149998
21200 5911  6.17365 18326.7   -5.89757e+06 150020
21300 5915  6.17365 18343.4   -5.90438e+06 150119
21400 5917  6.17365 18358.1   -5.90652e+06 150162
21500 5920  6.17365 18379.3   -5.91055e+06 150184
21600 5921  6.21211 18397.5   -5.91203e+06 150162
21700 5922  6.21211 18414.2   -5.91352e+06 150158
21800 5924  6.21211 18424.7   -5.91585e+06 150185
21900 5925  6.21211 18439   -5.91753e+06 150195
22000 5927  6.21211 18451   -5.91976e+06 150240
22100 5928  6.21211 18469.4   -5.9205e+06 150276
22200 5929  6.21211 18489   -5.92238e+06 150281
22300 5930  6.21211 18501   -5.92339e+06 150299
22400 5931  6.21211 18514.4   -5.92433e+06 150320
22500 5936  6.21211 18535.5   -5.9311e+06 150419
22600 5937  6.21211 18551.9   -5.93204e+06 150443
22700 5937  6.21211 18564.2   -5.93204e+06 150443
22800 5938  6.21211 18578.5   -5.93322e+06 150436
22900 5941  6.21211 18592.4   -5.93641e+06 150509
23000 5944  6.21211 18611.9   -5.94035e+06 150573
23100 5946  6.21211 18621.6   -5.94303e+06 150606
23200 5947  6.21211 18639.5   -5.9447e+06 150610
23300 5947  6.21211 18650.6   -5.9447e+06 150610
23400 5948  6.21211 18670   -5.94592e+06 150611
23500 5949  6.21211 18679.4   -5.9477e+06 150598
23600 5952  6.21211 18693.6   -5.95227e+06 150635
23700 5953  6.21211 18707.3   -5.95378e+06 150630
23800 5953  6.21211 18722.6   -5.95378e+06 150630
23900 5953  6.33398 18733.7   -5.95378e+06 150630
24000 5955  6.33398 18745.5   -5.95628e+06 150647
24100 5957  6.33398 18757.2   -5.95822e+06 150694
24200 5958  6.33398 18766.7   -5.95998e+06 150721
24300 5959  6.35414 18780   -5.96175e+06 150719
24400 5961  6.35414 18792.1   -5.96482e+06 150834
24500 5961  6.36635 18806.2   -5.96482e+06 150834
24600 5962  6.36635 18820.7   -5.96598e+06 150854
24700 5964  6.43439 18832.9   -5.96831e+06 150903
24800 5969  6.48169 18850.6   -5.97488e+06 151026
24900 5970  6.48169 18862.7   -5.97588e+06 151054
25000 5971  6.48169 18880.1   -5.97686e+06 151065
25100 5971  6.48169 18893.5   -5.97686e+06 151065
25200 5973  6.48169 18905.8   -5.97905e+06 151081
25300 5975  6.5334 18918.8   -5.98111e+06 151128
25400 5976  6.56587 18930.5   -5.9826e+06 151134
25500 5978  6.56587 18944.8   -5.98519e+06 151147
25600 5978  6.60209 18956.6   -5.98519e+06 151147
25700 5980  6.60209 18967   -5.98868e+06 151166
25800 5980  6.60209 18978.7   -5.98868e+06 151166
25900 5983  6.60209 18991.8   -5.99279e+06 151230
26000 5983  6.60209 19004.2   -5.99279e+06 151230
26100 5983  6.60209 19018.8   -5.99279e+06 151230
26200 5984  6.60209 19030.8   -5.99476e+06 151287
26300 5985  6.60209 19042.6   -5.99599e+06 151312
26400 5987  6.60209 19056.2   -5.9988e+06 151389
26500 5987  6.60209 19064.8   -5.9988e+06 151389
26600 5987  6.60209 19076.4   -5.9988e+06 151389
26700 5988  6.60209 19086.9   -6.00042e+06 151426
26800 5989  6.60209 19100.3   -6.00169e+06 151434
26900 5989  6.60209 19113.7   -6.00169e+06 151434
27000 5990  6.60209 19126.3   -6.00262e+06 151440
27100 5991  6.60209 19137   -6.00416e+06 151440
27200 5992  6.60209 19150.5   -6.00548e+06 151443
27300 5992  6.60209 19165.3   -6.00548e+06 151443
27400 5993  6.60209 19181.3   -6.00624e+06 151477
27500 5994  6.60209 19195.4   -6.00761e+06 151485
27600 5996  6.60209 19206   -6.01026e+06 151495
27700 5997  6.60209 19223.2   -6.01168e+06 151495
27800 5998  6.60209 19234.7   -6.01263e+06 151504
27900 5998  6.60209 19252   -6.01263e+06 151504
28000 5998  6.60209 19264   -6.01263e+06 151504
28100 5999  6.60209 19275.3   -6.01427e+06 151555
28200 6000  6.60209 19283.6   -6.01564e+06 151568
28300 6002  6.60209 19298.5   -6.01875e+06 151634
28400 6002  6.60209 19310.1   -6.01875e+06 151634
28500 6002  6.60209 19320.3   -6.01875e+06 151634
28600 6002  6.60209 19334.4   -6.01875e+06 151634
28700 6003  6.60209 19342.6   -6.01959e+06 151660
28800 6003  6.60209 19356.5   -6.01959e+06 151660
28900 6004  6.60209 19367.4   -6.02063e+06 151673
29000 6005  6.60209 19379.8   -6.02167e+06 151683
29100 6006  6.60209 19389.6   -6.02339e+06 151716
29200 6007  6.60209 19405.4   -6.02443e+06 151723
29300 6008  6.60209 19415.6   -6.02562e+06 151732
29400 6008  6.60209 19424.3   -6.02562e+06 151732
29500 6008  6.60209 19434.6   -6.02562e+06 151732
