0 96  0.988432 -6.41204   -3316 223.394
100 3048  2.57651 1972.32   -2.2432e+06 80296.7
200 3853  2.793 3491.59   -3.18644e+06 106397
300 4318  3.21202 4807.78   -3.74144e+06 120300
400 4659  3.23194 5914.5   -4.15526e+06 128323
500 4857  3.44672 6852.2   -4.41734e+06 133261
600 5047  4.47124 7734.18   -4.63977e+06 138245
700 5184  4.47124 8511.55   -4.81152e+06 140923
800 5287  4.47124 9223.9   -4.942e+06 143176
900 5385  5.05047 9870.36   -5.0641e+06 145561
1000 5471  5.05047 10517.3   -5.16533e+06 147189
1100 5537  5.05047 11082.7   -5.24605e+06 148729
1200 5608  5.08608 11687.3   -5.33292e+06 150405
1300 5678  5.28336 12243   -5.41917e+06 152004
1400 5724  5.28336 12737.4   -5.47574e+06 152647
1500 5787  5.28336 13224.4   -5.55315e+06 153937
1600 5836  5.37999 13688.4   -5.62054e+06 154846
1700 5881  5.37999 14092.8   -5.68078e+06 156003
1800 5931  5.47701 14499.3   -5.7418e+06 157162
1900 5970  5.47701 14873.3   -5.78922e+06 157902
2000 6016  5.50059 15233.8   -5.84866e+06 158914
2100 6046  5.58542 15560.3   -5.884e+06 159506
2200 6073  5.6094 15884.8   -5.92214e+06 160249
2300 6111  5.62311 16179.5   -5.97544e+06 160989
2400 6142  5.69902 16483.8   -6.01605e+06 161428
2500 6160  5.93155 16766.9   -6.04363e+06 161796
2600 6181  6.17297 17060   -6.06642e+06 162136
2700 6220  6.32809 17359.4   -6.1135e+06 163024
2800 6257  6.54786 17627   -6.16041e+06 163849
2900 6287  6.54786 17882.3   -6.20021e+06 164388
3000 6310  6.65315 18123.4   -6.22653e+06 164908
3100 6325  6.65315 18340.3   -6.24568e+06 165162
3200 6349  6.65315 18564.5   -6.27493e+06 165731
3300 6379  6.78535 18798.3   -6.31759e+06 166444
3400 6401  6.8691 19025.3   -6.34659e+06 166786
3500 6420  6.8691 19256.1   -6.36818e+06 167134
3600 6436  6.8691 19465.1   -6.38698e+06 167528
3700 6459  6.93077 19662   -6.41754e+06 167817
3800 6478  6.99279 19857.8   -6.43937e+06 168187
3900 6498  7.19155 20055.5   -6.46588e+06 168417
4000 6524  7.19155 20264.5   -6.4987e+06 168852
4100 6538  7.40179 20448.6   -6.51631e+06 169015
4200 6560  7.47203 20605.8   -6.54505e+06 169421
4300 6577  7.47203 20779.7   -6.56635e+06 169575
4400 6591  7.47203 20952.3   -6.5835e+06 169772
4500 6607  7.47203 21117.5   -6.60424e+06 169855
