0 468  2.45788 40.3881   -45410 2400.55
100 4570  3.47159 2938.83   -3.57343e+06 118742
200 5666  3.6827 5064.33   -4.97139e+06 142393
300 6302  3.6827 6869.13   -5.833e+06 156119
400 6692  4.97824 8450.52   -6.38294e+06 164390
500 6975  5.5407 9899.98   -6.78967e+06 170471
600 7154  5.55836 11160.7   -7.05203e+06 173509
700 7329  5.84642 12279.9   -7.29824e+06 176067
800 7474  5.98621 13314.3   -7.52633e+06 179351
900 7585  6.01179 14298.5   -7.69574e+06 181284
1000 7690  6.11397 15198.8   -7.85525e+06 182618
1100 7764  6.11397 16045.7   -7.97367e+06 183858
1200 7830  6.44349 16820.9   -8.07461e+06 184956
1300 7884  7.2251 17573.2   -8.15293e+06 185527
1400 7955  7.39623 18302.9   -8.249e+06 186235
1500 7990  7.39623 18993.6   -8.30484e+06 187088
1600 8024  7.42488 19675.1   -8.35396e+06 187614
1700 8063  7.44583 20285.8   -8.41467e+06 188384
1800 8099  7.55528 20897.1   -8.46874e+06 188914
1900 8127  7.55528 21491.2   -8.50684e+06 189282
2000 8157  7.68039 22022.4   -8.5476e+06 189699
2100 8178  7.68039 22540.3   -8.58263e+06 189932
2200 8204  7.68039 23017   -8.62232e+06 190347
2300 8236  7.68039 23506.8   -8.67104e+06 190717
2400 8271  7.71566 24005.2   -8.72324e+06 191438
2500 8290  7.71566 24444.4   -8.75549e+06 191767
2600 8310  7.71566 24868   -8.78648e+06 192093
2700 8330  7.71566 25315.7   -8.82285e+06 192429
2800 8347  8.10317 25707.1   -8.85029e+06 192613
2900 8367  8.10317 26086.1   -8.88829e+06 193283
3000 8382  8.10317 26456.4   -8.9133e+06 193602
3100 8395  8.15924 26799.4   -8.93046e+06 193688
3200 8409  8.44133 27145.6   -8.95334e+06 193829
3300 8421  8.50334 27468.6   -8.97182e+06 194033
3400 8428  8.53275 27791.5   -8.98214e+06 194073
3500 8443  8.53275 28101.3   -9.00459e+06 194291
3600 8454  8.6072 28391.2   -9.0234e+06 194728
3700 8464  8.6072 28695.7   -9.03599e+06 194729
3800 8471  8.6072 28993.5   -9.04345e+06 194879
3900 8476  8.73492 29298.3   -9.05391e+06 195045
4000 8488  8.90247 29563   -9.07527e+06 195314
4100 8500  8.90247 29835.5   -9.0963e+06 195479
4200 8510  8.90247 30095.3   -9.11211e+06 195653
4300 8525  9.0844 30339.4   -9.13424e+06 195979
4400 8534  9.0844 30590.2   -9.14934e+06 196139
4500 8543  9.0844 30834.8   -9.16204e+06 196276
4600 8555  9.0844 31069.8   -9.18024e+06 196482
4700 8567  9.0844 31320.7   -9.20004e+06 196884
4800 8574  9.0844 31564.2   -9.20743e+06 197063
4900 8584  9.0844 31807.2   -9.22301e+06 197253
5000 8601  9.0844 32014.6   -9.24938e+06 197655
5100 8617  9.14763 32262.4   -9.27776e+06 198028
5200 8626  9.16077 32505.4   -9.28974e+06 198201
5300 8639  9.3972 32757.5   -9.31193e+06 198535
5400 8645  9.3972 32989.7   -9.32226e+06 198619
5500 8657  9.3972 33199.2   -9.34218e+06 198849
5600 8666  9.3972 33413.9   -9.35858e+06 198966
5700 8670  9.3972 33639.9   -9.36569e+06 199057
5800 8680  9.52614 33840.2   -9.38209e+06 199258
5900 8689  9.52614 34047.7   -9.39695e+06 199480
6000 8696  9.60282 34242.5   -9.40906e+06 199540
6100 8704  9.60282 34447.3   -9.42127e+06 199634
6200 8712  9.60282 34628.6   -9.43256e+06 199762
6300 8719  9.60282 34817.6   -9.44464e+06 199959
6400 8733  9.60282 35027.9   -9.46674e+06 200322
6500 8740  9.7818 35220.8   -9.47753e+06 200471
6600 8748  10.2954 35392.1   -9.49262e+06 200662
6700 8757  10.2954 35550.9   -9.50277e+06 200852
6800 8773  10.2954 35737.2   -9.52186e+06 201111
6900 8782  10.2954 35900.4   -9.5312e+06 201279
7000 8789  10.4793 36068.3   -9.54075e+06 201374
7100 8799  10.5483 36235.1   -9.55498e+06 201556
7200 8808  10.5483 36389.6   -9.56689e+06 201664
7300 8811  10.5483 36546.5   -9.57074e+06 201668
7400 8819  10.5483 36715.9   -9.58248e+06 201754
7500 8825  10.8076 36887   -9.59206e+06 201848
7600 8827  10.8076 37047.2   -9.59615e+06 201885
7700 8832  10.8076 37203   -9.60408e+06 201941
7800 8834  11.101 37350.9   -9.60656e+06 201936
7900 8841  11.1715 37505.4   -9.61663e+06 201989
8000 8845  11.1715 37650.2   -9.62386e+06 202106
8100 8851  11.1715 37789.1   -9.63351e+06 202162
8200 8853  11.1715 37926.1   -9.6373e+06 202174
8300 8856  11.1715 38059.4   -9.64288e+06 202172
8400 8862  11.6355 38225.9   -9.65057e+06 202192
8500 8862  11.6355 38346   -9.65057e+06 202192
8600 8865  11.6355 38488.7   -9.65622e+06 202243
8700 8867  11.6355 38593.4   -9.65916e+06 202269
8800 8870  11.6355 38737.1   -9.6639e+06 202275
8900 8876  11.6355 38881.3   -9.67416e+06 202367
9000 8882  11.6355 38993.7   -9.68137e+06 202454
9100 8883  11.6355 39129.7   -9.68367e+06 202495
9200 8884  11.6355 39250.8   -9.68498e+06 202480
9300 8887  11.6355 39387.4   -9.68878e+06 202511
9400 8889  11.6875 39523.2   -9.69179e+06 202525
9500 8891  11.6875 39646.3   -9.69514e+06 202580
9600 8892  11.6875 39770.1   -9.69672e+06 202592
9700 8894  11.6875 39881.9   -9.70119e+06 202664
9800 8895  11.6875 39990.6   -9.70303e+06 202679
9900 8897  11.6875 40089   -9.70612e+06 202694
10000 8901  11.7342 40224.3   -9.71404e+06 202859
10100 8903  11.7342 40339.6   -9.71696e+06 202886
10200 8903  11.7342 40456.8   -9.71696e+06 202886
10300 8905  11.7342 40568.6   -9.72075e+06 202855
10400 8908  11.7342 40704.1   -9.72639e+06 202930
10500 8913  11.7342 40817.2   -9.73563e+06 203061
10600 8916  11.7342 40937.7   -9.74094e+06 203094
10700 8916  11.7342 41034.4   -9.74094e+06 203094
10800 8919  11.7342 41130.5   -9.7453e+06 203139
10900 8925  11.7342 41267.2   -9.75522e+06 203253
11000 8927  11.7342 41362.7   -9.75922e+06 203267
11100 8932  11.7342 41476.7   -9.76641e+06 203330
11200 8935  11.7342 41570.9   -9.77195e+06 203452
11300 8938  11.7738 41674.3   -9.77566e+06 203465
11400 8940  11.7738 41781   -9.77937e+06 203478
11500 8942  11.7738 41899.7   -9.78161e+06 203512
11600 8943  11.7738 42013.9   -9.7832e+06 203528
11700 8947  11.7738 42101.9   -9.78872e+06 203683
11800 8948  11.7738 42220.9   -9.79058e+06 203696
11900 8949  12.0453 42346.1   -9.79149e+06 203708
12000 8952  12.0453 42428.5   -9.79688e+06 203716
12100 8954  12.0453 42508.3   -9.79923e+06 203726
12200 8955  12.0453 42604.7   -9.80093e+06 203721
12300 8955  12.0453 42689.1   -9.80093e+06 203721
12400 8957  12.0453 42789.4   -9.80432e+06 203775
12500 8960  12.1147 42863.4   -9.81014e+06 203811
12600 8962  12.1147 42949.8   -9.81326e+06 203837
12700 8962  12.1147 43040.8   -9.81326e+06 203837
12800 8963  12.1147 43129.5   -9.81506e+06 203853
12900 8965  12.1257 43202.5   -9.81822e+06 203840
13000 8965  12.1706 43288.2   -9.81822e+06 203840
13100 8965  12.5444 43389.9   -9.81822e+06 203840
13200 8966  12.5444 43479.1   -9.82024e+06 203869
13300 8968  12.6527 43571.8   -9.82308e+06 203896
13400 8968  12.6527 43645.5   -9.82308e+06 203896
13500 8972  12.6527 43733.4   -9.82978e+06 203936
13600 8976  12.6527 43840   -9.83643e+06 203994
13700 8980  12.6527 43937.7   -9.84124e+06 204069
13800 8982  12.6527 44024.6   -9.8448e+06 204067
13900 8985  12.6527 44125.8   -9.85049e+06 204146
14000 8985  12.6527 44224.8   -9.85049e+06 204146
14100 8989  12.6527 44320.9   -9.85517e+06 204173
14200 8990  12.6527 44411.5   -9.85608e+06 204186
14300 8991  12.6527 44494.1   -9.85824e+06 204195
14400 8992  12.6527 44583.7   -9.86033e+06 204235
14500 8992  12.6527 44666.5   -9.86033e+06 204235
14600 8995  12.6527 44747.2   -9.86492e+06 204243
14700 8997  12.6527 44834.1   -9.86708e+06 204267
14800 8997  12.6527 44908   -9.86708e+06 204267
14900 8998  12.6527 44980.8   -9.86829e+06 204267
15000 8999  12.6527 45045.6   -9.8693e+06 204276
15100 9001  12.6527 45123.7   -9.87337e+06 204318
15200 9003  12.6527 45192.8   -9.87707e+06 204353
15300 9006  12.6527 45282.6   -9.88187e+06 204435
15400 9006  12.7489 45351.9   -9.88187e+06 204435
15500 9007  12.7489 45418.9   -9.8837e+06 204471
15600 9011  12.7489 45485.4   -9.88987e+06 204536
15700 9012  12.7489 45552.7   -9.89187e+06 204565
15800 9013  12.7489 45624.1   -9.89349e+06 204592
15900 9014  12.7489 45698.3   -9.89476e+06 204588
16000 9017  12.7489 45770.4   -9.89942e+06 204629
16100 9019  12.7489 45838.4   -9.90282e+06 204693
16200 9021  12.7489 45901.2   -9.90577e+06 204720
16300 9022  12.7489 45970.4   -9.9075e+06 204739
16400 9022  12.7489 46038.8   -9.9075e+06 204739
16500 9025  12.7489 46101.1   -9.91235e+06 204792
16600 9026  12.7489 46170.2   -9.91342e+06 204794
16700 9027  12.7489 46252.1   -9.91482e+06 204807
16800 9029  12.7489 46326.7   -9.91812e+06 204839
16900 9031  12.7489 46420.1   -9.92144e+06 204832
17000 9032  12.7489 46487.7   -9.9232e+06 204848
17100 9032  12.7489 46553.5   -9.9232e+06 204848
