0 451  2.12954 34.7136   -36839 1647.09
100 4800  2.98988 2647.51   -3.82603e+06 121609
200 5867  2.98988 4589.67   -5.20671e+06 145523
300 6402  3.15939 6129.44   -5.92439e+06 155797
400 6787  4.16166 7476.54   -6.47125e+06 162394
500 7049  4.16166 8779.67   -6.88158e+06 168188
600 7222  4.43141 9934.03   -7.16024e+06 171489
700 7360  4.82245 11007.3   -7.37302e+06 174931
800 7477  4.82245 11966.1   -7.55697e+06 177745
900 7576  5.01316 12856.6   -7.70384e+06 179902
1000 7658  5.01316 13663.3   -7.82018e+06 181080
1100 7735  5.38836 14472.6   -7.9389e+06 182811
1200 7794  5.4159 15203.7   -8.02359e+06 183672
1300 7856  5.4159 15897.1   -8.11684e+06 185079
1400 7913  5.72207 16592.8   -8.20499e+06 186061
1500 7962  5.72207 17234.6   -8.27465e+06 186805
1600 8002  5.72207 17907.4   -8.32822e+06 187412
1700 8064  6.28554 18614.4   -8.42468e+06 188804
1800 8095  6.28554 19254   -8.47418e+06 189237
1900 8135  6.28554 19838.5   -8.53275e+06 189895
2000 8169  6.30485 20404.5   -8.58067e+06 190333
2100 8197  6.39173 20932.7   -8.61959e+06 190869
2200 8223  6.39173 21490.1   -8.65918e+06 191119
2300 8246  6.39173 21996.2   -8.69561e+06 191388
2400 8265  6.53105 22494   -8.72829e+06 191692
2500 8285  6.77011 22992.6   -8.76169e+06 191908
2600 8297  6.77011 23427.9   -8.78078e+06 192146
2700 8320  6.84774 23912.7   -8.81551e+06 192302
2800 8338  6.8818 24370   -8.84206e+06 192450
2900 8358  7.08138 24814.9   -8.87439e+06 192665
3000 8371  7.08138 25204.1   -8.8957e+06 192823
3100 8387  7.08138 25603.5   -8.91916e+06 193090
3200 8401  7.08138 25987.6   -8.94022e+06 193380
3300 8413  7.14745 26341.5   -8.96024e+06 193614
3400 8427  7.14745 26682   -8.98162e+06 193817
3500 8440  7.14745 27017.7   -8.99922e+06 194011
3600 8450  7.14745 27362.8   -9.01578e+06 194011
3700 8460  7.14745 27679.2   -9.03345e+06 194242
3800 8470  7.23184 27989   -9.04809e+06 194407
3900 8478  7.23184 28263.2   -9.05824e+06 194415
4000 8488  7.23184 28529.1   -9.07301e+06 194635
4100 8500  7.50538 28787.3   -9.09119e+06 194790
4200 8502  7.53066 29058.2   -9.09417e+06 194787
4300 8509  7.77233 29298   -9.10804e+06 195047
4400 8514  7.84587 29539.8   -9.11387e+06 195208
4500 8522  7.84587 29819.4   -9.12712e+06 195406
4600 8530  7.84587 30072   -9.13707e+06 195572
