0 329  2.31741 41.0567   -108241 0
100 1952  3.45952 1709.91   -3.8103e+06 0
200 2410  4.16665 2776.3   -5.8081e+06 0
300 2713  4.81685 3707.72   -7.36037e+06 0
400 2975  4.83053 4443.11   -8.85062e+06 0
500 3213  5.4499 5213.46   -1.03234e+07 0
600 3381  5.4499 5870.57   -1.14312e+07 0
700 3560  5.68965 6441.78   -1.26736e+07 0
800 3686  6.94686 6927.91   -1.35866e+07 0
900 3807  6.94686 7387.15   -1.44932e+07 0
1000 3888  7.18578 7830.5   -1.51165e+07 0
1100 3972  7.37853 8257.48   -1.57768e+07 0
1200 4049  7.37853 8668.45   -1.63944e+07 0
1300 4112  7.38726 9005.28   -1.69085e+07 0
1400 4179  7.38726 9362.89   -1.7464e+07 0
1500 4249  7.38726 9690.7   -1.8054e+07 0
1600 4308  8.15093 10005.4   -1.85589e+07 0
1700 4367  8.15093 10290.4   -1.90707e+07 0
1800 4418  8.15093 10603.4   -1.95187e+07 0
1900 4468  8.15093 10933.4   -1.9963e+07 0
2000 4511  8.15093 11194.2   -2.03491e+07 0
2100 4554  8.38442 11424.3   -2.07389e+07 0
2200 4590  8.38442 11686   -2.10681e+07 0
2300 4632  8.38442 11938.2   -2.14554e+07 0
2400 4672  8.38442 12215.6   -2.18276e+07 0
2500 4717  8.38442 12450.6   -2.22501e+07 0
2600 4752  8.59836 12702.3   -2.25815e+07 0
2700 4797  8.64735 12949.6   -2.30112e+07 0
2800 4831  8.67966 13169.1   -2.33386e+07 0
2900 4859  9.16776 13374   -2.36099e+07 0
3000 4897  9.33146 13574.1   -2.39806e+07 0
3100 4923  9.38144 13804.5   -2.42359e+07 0
3200 4963  9.53808 14026.9   -2.46314e+07 0
3300 4988  9.91965 14240.9   -2.48801e+07 0
3400 5008  9.91965 14418.6   -2.50801e+07 0
3500 5027  9.91965 14584.6   -2.52707e+07 0
3600 5067  9.97905 14734.7   -2.56745e+07 0
3700 5103  10.2598 14874.7   -2.60406e+07 0
3800 5124  10.2598 15046.2   -2.62554e+07 0
3900 5158  10.2598 15228.9   -2.6605e+07 0
4000 5181  10.2598 15377.5   -2.68428e+07 0
4100 5206  10.2598 15540.4   -2.71024e+07 0
4200 5220  10.2598 15658.8   -2.72484e+07 0
4300 5241  10.2598 15803.8   -2.74681e+07 0
4400 5262  10.2598 15947.2   -2.76886e+07 0
4500 5277  10.2598 16062.5   -2.78467e+07 0
4600 5296  10.2598 16191.1   -2.80476e+07 0
4700 5308  10.2598 16325.7   -2.81749e+07 0
4800 5324  10.2598 16454.8   -2.8345e+07 0
4900 5345  10.2598 16583.6   -2.8569e+07 0
5000 5357  10.2598 16700.6   -2.86974e+07 0
5100 5376  10.2598 16833.8   -2.89014e+07 0
5200 5391  10.2598 16944.9   -2.90629e+07 0
5300 5409  10.2598 17061.3   -2.92573e+07 0
5400 5421  10.2598 17171.9   -2.93872e+07 0
5500 5435  10.2598 17313.3   -2.95392e+07 0
5600 5455  10.2598 17412.6   -2.9757e+07 0
5700 5471  10.2598 17526.1   -2.99318e+07 0
5800 5480  10.2598 17639.1   -3.00304e+07 0
5900 5490  10.2598 17747   -3.01401e+07 0
6000 5497  10.3143 17837.4   -3.0217e+07 0
6100 5510  10.3143 17934.1   -3.03601e+07 0
6200 5520  10.3143 18015.6   -3.04704e+07 0
6300 5532  10.3143 18124.8   -3.0603e+07 0
6400 5543  10.3143 18223.1   -3.07248e+07 0
6500 5551  10.3143 18306.9   -3.08136e+07 0
6600 5563  10.3143 18421   -3.0947e+07 0
6700 5573  10.3143 18510.2   -3.10583e+07 0
6800 5581  10.3143 18598.8   -3.11476e+07 0
6900 5595  10.3143 18691.8   -3.1304e+07 0
7000 5604  10.3143 18779.5   -3.14048e+07 0
7100 5613  10.3143 18872.1   -3.15058e+07 0
7200 5621  10.3143 18947.3   -3.15956e+07 0
7300 5631  10.3143 19048.7   -3.17082e+07 0
7400 5641  10.3143 19128.2   -3.18209e+07 0
7500 5644  10.3143 19205.8   -3.18547e+07 0
7600 5653  10.3143 19276.8   -3.19564e+07 0
7700 5658  10.3143 19364.3   -3.2013e+07 0
7800 5663  10.6083 19426.9   -3.20696e+07 0
7900 5674  10.6083 19503.2   -3.21943e+07 0
8000 5682  10.6083 19589.3   -3.22851e+07 0
8100 5686  11.0451 19670.6   -3.23306e+07 0
8200 5695  11.0451 19750.8   -3.2433e+07 0
8300 5701  11.0451 19837   -3.25014e+07 0
8400 5704  11.0451 19921.5   -3.25356e+07 0
