0 328  2.00429 27.4572   -107584 0
100 1937  3.61696 1688.62   -3.75197e+06 0
200 2424  3.90356 2942.04   -5.87578e+06 0
300 2689  4.8334 3990.63   -7.23072e+06 0
400 2877  5.56375 4856.81   -8.27713e+06 0
500 3036  5.72205 5513.34   -9.2173e+06 0
600 3173  5.89155 6053.34   -1.00679e+07 0
700 3286  6.09508 6506.32   -1.07978e+07 0
800 3381  6.38965 6902.04   -1.14312e+07 0
900 3469  6.38965 7294.53   -1.2034e+07 0
1000 3549  6.51335 7696.09   -1.25954e+07 0
1100 3614  6.95818 7997.99   -1.3061e+07 0
1200 3687  6.95818 8332.86   -1.3594e+07 0
1300 3754  6.95818 8684.77   -1.40925e+07 0
1400 3821  6.95818 9014.32   -1.46e+07 0
1500 3873  6.95818 9311.57   -1.50001e+07 0
1600 3928  6.95818 9597.88   -1.54292e+07 0
1700 3988  6.97645 9919.12   -1.59041e+07 0
1800 4049  6.97645 10197.1   -1.63944e+07 0
1900 4121  7.20424 10462.9   -1.69826e+07 0
2000 4191  7.20424 10734.7   -1.75645e+07 0
2100 4271  8.33892 11007.1   -1.82414e+07 0
2200 4318  8.33892 11259.6   -1.86451e+07 0
2300 4371  8.33892 11488.2   -1.91056e+07 0
2400 4420  8.33892 11709.1   -1.95364e+07 0
2500 4476  8.33892 11927.6   -2.00346e+07 0
2600 4510  8.59768 12118   -2.03401e+07 0
2700 4549  8.59768 12286.4   -2.06934e+07 0
2800 4586  8.59768 12462.1   -2.10314e+07 0
2900 4617  8.59768 12634.2   -2.13167e+07 0
3000 4662  8.59768 12828.4   -2.17342e+07 0
3100 4702  8.64086 13007.8   -2.21088e+07 0
3200 4743  8.84811 13177   -2.2496e+07 0
3300 4778  8.84811 13337.7   -2.28293e+07 0
3400 4809  8.84811 13513.3   -2.31265e+07 0
3500 4843  8.84811 13658.3   -2.34546e+07 0
3600 4866  8.84811 13806.9   -2.3678e+07 0
3700 4884  8.84811 13939.5   -2.38535e+07 0
3800 4900  8.84811 14058.6   -2.401e+07 0
3900 4924  8.84811 14193.7   -2.42458e+07 0
4000 4946  8.84811 14313.5   -2.44629e+07 0
4100 4967  8.84811 14432.9   -2.46711e+07 0
4200 4986  9.04946 14552   -2.48602e+07 0
4300 5001  9.04946 14682.5   -2.501e+07 0
4400 5016  9.04946 14798.3   -2.51603e+07 0
