0 14  0.351759 2.38769   -192 0.346939
100 2394  1.76446 1222.32   -1.56315e+06 62615.7
200 3026  2.14581 2219.21   -2.2648e+06 83274.1
300 3366  2.36505 3056.07   -2.65028e+06 92306.2
400 3588  2.41484 3714.43   -2.90545e+06 97841.3
500 3769  2.75583 4323.49   -3.12304e+06 102673
600 3889  2.90985 4855.05   -3.2626e+06 105200
700 3970  3.36567 5330.91   -3.35381e+06 106861
800 4049  3.56916 5777.85   -3.44742e+06 108865
900 4119  3.58267 6180.72   -3.53595e+06 110657
1000 4173  3.90604 6541.19   -3.60472e+06 112018
1100 4221  3.90604 6872.58   -3.66619e+06 113244
1200 4267  3.96838 7198.66   -3.72837e+06 114768
1300 4296  4.00397 7500.26   -3.76456e+06 115741
1400 4327  4.10372 7786.05   -3.80013e+06 116478
1500 4360  4.16147 8038.26   -3.83971e+06 116929
1600 4391  4.16147 8311.28   -3.8792e+06 117351
1700 4423  4.33034 8566.26   -3.9201e+06 117943
1800 4448  4.39766 8808.85   -3.95209e+06 118275
1900 4467  4.41 9022.06   -3.97734e+06 118799
2000 4491  4.46698 9222.63   -4.0111e+06 119241
2100 4508  4.58858 9404.04   -4.03354e+06 119905
2200 4526  4.7153 9596.05   -4.05762e+06 120235
2300 4542  4.7153 9778.03   -4.07765e+06 120542
2400 4557  4.7153 9963.3   -4.09684e+06 120955
2500 4572  4.82018 10131.6   -4.11432e+06 121074
2600 4591  5.11545 10303.8   -4.14005e+06 121610
2700 4603  5.11545 10462.7   -4.15649e+06 121961
2800 4612  5.11545 10613.4   -4.16882e+06 122240
2900 4626  5.11545 10783.6   -4.18854e+06 122797
3000 4648  5.33641 10955.3   -4.21884e+06 123306
3100 4663  5.33641 11120.9   -4.23787e+06 123489
3200 4675  5.35925 11285.3   -4.25101e+06 123811
3300 4691  5.44287 11418   -4.27088e+06 124009
3400 4703  5.44287 11546.3   -4.28763e+06 124437
3500 4720  5.44287 11691.1   -4.31119e+06 124857
3600 4737  5.44287 11823.1   -4.33399e+06 125162
3700 4751  5.44287 11938.9   -4.35046e+06 125436
3800 4761  5.44287 12053.5   -4.36612e+06 125804
3900 4770  5.45681 12164.5   -4.37609e+06 125878
4000 4787  5.45681 12293   -4.39999e+06 126426
4100 4796  5.45681 12416.9   -4.41029e+06 126577
4200 4805  5.5246 12536.1   -4.42374e+06 126813
4300 4815  5.5246 12633.4   -4.43793e+06 127067
4400 4827  5.5246 12736.9   -4.45378e+06 127364
4500 4835  5.5246 12847.7   -4.46474e+06 127475
4600 4845  5.5246 12952   -4.47818e+06 127612
4700 4854  5.5246 13067.7   -4.49248e+06 127906
4800 4866  5.58744 13169.6   -4.50832e+06 128093
4900 4872  5.78425 13258.7   -4.51633e+06 128207
5000 4878  5.78425 13360.8   -4.52436e+06 128347
5100 4889  5.78425 13437.1   -4.5387e+06 128550
5200 4891  5.78425 13513.5   -4.5406e+06 128598
5300 4904  5.78425 13594.1   -4.55668e+06 129006
5400 4908  5.84565 13679   -4.56261e+06 129170
5500 4914  5.84565 13753.6   -4.5709e+06 129294
5600 4923  5.84565 13820.6   -4.5812e+06 129480
5700 4927  5.92138 13896.8   -4.58668e+06 129495
5800 4935  5.92138 13981.9   -4.59894e+06 129906
5900 4943  5.92138 14060.8   -4.61053e+06 130124
6000 4950  5.92138 14137.3   -4.61872e+06 130326
6100 4959  5.92138 14211.1   -4.63016e+06 130494
6200 4963  5.92138 14275.2   -4.63508e+06 130574
6300 4970  5.92138 14337.4   -4.64493e+06 130569
6400 4974  5.92138 14405.3   -4.65104e+06 130687
6500 4979  5.92138 14467.9   -4.65879e+06 130800
6600 4984  5.92138 14534.4   -4.66647e+06 130999
6700 4993  6.00192 14597.8   -4.68011e+06 131214
6800 4999  6.02535 14665   -4.68679e+06 131305
6900 5002  6.02535 14727.8   -4.69063e+06 131434
7000 5009  6.02535 14794.1   -4.70027e+06 131499
7100 5014  6.05775 14864.1   -4.70731e+06 131572
7200 5016  6.0661 14916.9   -4.70939e+06 131589
7300 5024  6.0661 14978.7   -4.72091e+06 131694
