0 325  2.45176 31.7014   -105625 0
12000 5911  10.6725 23491.5   -3.49399e+07 0
12100 5918  10.6725 23545.4   -3.50227e+07 0
12200 5922  10.6725 23606.1   -3.50701e+07 0
12300 5928  10.9449 23652.8   -3.51412e+07 0
12400 5931  10.9449 23704.9   -3.51768e+07 0
12500 5937  10.9449 23757.6   -3.5248e+07 0
12600 5942  10.9449 23812.7   -3.53074e+07 0
12700 5943  10.9449 23855.7   -3.53192e+07 0
12800 5945  10.9449 23906.6   -3.5343e+07 0
12900 5952  10.9449 23964   -3.54263e+07 0
13000 5955  10.9449 24009   -3.5462e+07 0
13100 5958  10.9449 24057.9   -3.54978e+07 0
13200 5963  10.9449 24114.6   -3.55574e+07 0
13300 5966  10.9449 24161.1   -3.55932e+07 0
13400 5971  10.9449 24218.3   -3.56528e+07 0
13500 5974  10.9449 24275   -3.56887e+07 0
13600 5979  10.9449 24339.9   -3.57484e+07 0
13700 5982  11.0737 24383.5   -3.57843e+07 0
13800 5985  11.0737 24442.8   -3.58202e+07 0
13900 5987  11.0737 24491.9   -3.58442e+07 0
14000 5992  11.0737 24555.7   -3.59041e+07 0
14100 5993  11.0737 24612.8   -3.5916e+07 0
14200 5995  11.0737 24665.1   -3.594e+07 0
14300 6001  11.0737 24717.7   -3.6012e+07 0
14400 6006  11.0737 24768.7   -3.6072e+07 0
14500 6009  11.0737 24823.7   -3.61081e+07 0
14600 6013  11.0737 24873.8   -3.61562e+07 0
14700 6014  11.0737 24924.4   -3.61682e+07 0
14800 6018  11.0737 24982.9   -3.62163e+07 0
14900 6024  11.0737 25036   -3.62886e+07 0
15000 6027  11.0737 25085   -3.63247e+07 0
15100 6028  11.0737 25133.6   -3.63368e+07 0
15200 6030  11.0737 25183.2   -3.63609e+07 0
15300 6033  11.0737 25222.3   -3.63971e+07 0
15400 6039  11.0737 25262.9   -3.64695e+07 0
15500 6044  11.0737 25306.9   -3.65299e+07 0
15600 6051  11.0737 25355.7   -3.66146e+07 0
15700 6054  11.0737 25391.1   -3.66509e+07 0
15800 6057  11.0737 25424.5   -3.66872e+07 0
15900 6058  11.0737 25466.6   -3.66994e+07 0
16000 6060  11.0737 25514.1   -3.67236e+07 0
16100 6064  11.0737 25559.7   -3.67721e+07 0
16200 6069  11.0737 25595.7   -3.68328e+07 0
16300 6073  11.0737 25645.2   -3.68813e+07 0
16400 6077  11.0737 25682.9   -3.69299e+07 0
16500 6078  11.0737 25725.4   -3.69421e+07 0
16600 6082  11.0737 25765   -3.69907e+07 0
16700 6084  11.0737 25798.7   -3.70151e+07 0
16800 6086  11.0737 25837.7   -3.70394e+07 0
16900 6088  11.0737 25873.4   -3.70637e+07 0
17000 6089  11.0737 25914.4   -3.70759e+07 0
17100 6091  11.0737 25954.7   -3.71003e+07 0
17200 6096  11.0737 25988.6   -3.71612e+07 0
17300 6097  11.0737 26032.5   -3.71734e+07 0
17400 6099  11.0737 26065.1   -3.71978e+07 0
17500 6103  11.1534 26098   -3.72466e+07 0
17600 6106  11.3058 26142.3   -3.72832e+07 0
17700 6108  11.3058 26182.4   -3.73077e+07 0
17800 6109  11.3058 26211.4   -3.73199e+07 0
17900 6113  11.3058 26246.5   -3.73688e+07 0
18000 6114  11.3058 26276.2   -3.7381e+07 0
18100 6116  11.3058 26310.3   -3.74055e+07 0
18200 6121  11.3058 26344.3   -3.74666e+07 0
18300 6124  11.3058 26378.5   -3.75034e+07 0
18400 6125  11.3058 26409.8   -3.75156e+07 0
18500 6129  11.3058 26441.2   -3.75646e+07 0
18600 6132  11.3616 26466.3   -3.76014e+07 0
18700 6133  11.3616 26496.4   -3.76137e+07 0
18800 6136  11.3616 26533   -3.76505e+07 0
18900 6141  11.3616 26570.2   -3.77119e+07 0
19000 6145  11.3616 26602.1   -3.7761e+07 0
19100 6147  11.3616 26636.1   -3.77856e+07 0
19200 6150  11.3616 26671.3   -3.78225e+07 0
19300 6153  11.3616 26702.6   -3.78594e+07 0
19400 6155  11.3616 26730.4   -3.7884e+07 0
19500 6160  11.3616 26761.9   -3.79456e+07 0
19600 6163  11.3616 26791.3   -3.79826e+07 0
19700 6166  11.4439 26824.1   -3.80196e+07 0
19800 6171  11.4439 26854.7   -3.80812e+07 0
19900 6173  11.4439 26889.2   -3.81059e+07 0
20000 6176  11.4439 26925.2   -3.8143e+07 0
20100 6178  11.4439 26956.3   -3.81677e+07 0
20200 6183  11.5255 26991   -3.82295e+07 0
20300 6187  11.5255 27023   -3.8279e+07 0
20400 6190  11.5255 27058   -3.83161e+07 0
20500 6192  11.5255 27089.9   -3.83409e+07 0
20600 6194  11.5255 27117   -3.83656e+07 0
20700 6197  11.5255 27146   -3.84028e+07 0
20800 6198  11.5255 27181.4   -3.84152e+07 0
20900 6201  11.5255 27216.8   -3.84524e+07 0
21000 6206  11.6731 27247.8   -3.85144e+07 0
21100 6209  11.6731 27274.7   -3.85517e+07 0
21200 6212  11.6731 27308.2   -3.85889e+07 0
21300 6215  11.6731 27342.6   -3.86262e+07 0
21400 6216  11.6731 27368.7   -3.86387e+07 0
21500 6217  11.6731 27394.9   -3.86511e+07 0
21600 6218  11.8338 27430.5   -3.86635e+07 0
21700 6219  11.8338 27459.4   -3.8676e+07 0
21800 6222  11.8338 27492.4   -3.87133e+07 0
21900 6224  11.8338 27517.4   -3.87382e+07 0
22000 6225  11.8338 27547.9   -3.87506e+07 0
22100 6227  11.8338 27573   -3.87755e+07 0
22200 6230  11.8338 27603.2   -3.88129e+07 0
22300 6231  11.8338 27628.1   -3.88254e+07 0
22400 6232  11.8338 27653.4   -3.88378e+07 0
22500 6232  11.8338 27684.8   -3.88378e+07 0
22600 6234  11.8338 27706   -3.88628e+07 0
22700 6234  11.8338 27723.2   -3.88628e+07 0
22800 6235  11.8338 27749.8   -3.88752e+07 0
22900 6236  11.8338 27780.7   -3.88877e+07 0
23000 6236  11.8338 27798.9   -3.88877e+07 0
23100 6238  11.8338 27827.6   -3.89126e+07 0
23200 6238  11.8338 27851.4   -3.89126e+07 0
23300 6238  11.8338 27878.1   -3.89126e+07 0
23400 6240  11.8338 27907.2   -3.89376e+07 0
23500 6242  11.8338 27930.1   -3.89626e+07 0
23600 6242  11.8338 27959.3   -3.89626e+07 0
23700 6243  11.8338 27980.8   -3.8975e+07 0
23800 6244  11.8338 28004.8   -3.89875e+07 0
23900 6245  11.8338 28024.4   -3.9e+07 0
24000 6247  11.8338 28049.6   -3.9025e+07 0
24100 6248  11.8338 28074.9   -3.90375e+07 0
24200 6251  11.8338 28097.9   -3.9075e+07 0
24300 6254  11.8338 28127.7   -3.91125e+07 0
24400 6254  11.8338 28153.8   -3.91125e+07 0
24500 6255  11.8338 28187.1   -3.9125e+07 0
24600 6257  11.8338 28215.2   -3.915e+07 0
24700 6257  11.8338 28231.6   -3.915e+07 0
24800 6259  11.8338 28258.7   -3.91751e+07 0
24900 6261  11.8338 28284   -3.92001e+07 0
25000 6261  11.8338 28310.3   -3.92001e+07 0
