0 317  1.42442 19.6122   -100489 0
100 1997  6.0309 1909.32   -3.98801e+06 0
200 2424  6.0309 3004.93   -5.87578e+06 0
300 2679  6.88869 3919.24   -7.17704e+06 0
400 2885  6.88869 4745.04   -8.32322e+06 0
500 3036  6.88869 5390.7   -9.2173e+06 0
600 3185  6.88869 5957.82   -1.01442e+07 0
700 3292  7.00941 6485.04   -1.08373e+07 0
800 3388  7.00941 6980.89   -1.14785e+07 0
900 3463  7.00941 7418.56   -1.19924e+07 0
1000 3567  7.15666 7815.4   -1.27235e+07 0
1100 3642  7.30234 8181.66   -1.32642e+07 0
1200 3721  7.30234 8529.97   -1.38458e+07 0
1300 3786  7.30234 8855.72   -1.43338e+07 0
1400 3867  8.53933 9181.94   -1.49537e+07 0
1500 3935  8.53933 9495.58   -1.54842e+07 0
1600 4000  8.53933 9776.9   -1.6e+07 0
1700 4065  8.74077 10063.5   -1.65242e+07 0
1800 4121  9.33703 10344.7   -1.69826e+07 0
1900 4180  9.36689 10615.9   -1.74724e+07 0
2000 4224  9.66317 10879.8   -1.78422e+07 0
2100 4264  9.66317 11114.1   -1.81817e+07 0
2200 4304  9.66317 11318.5   -1.85244e+07 0
2300 4348  9.66317 11527.9   -1.89051e+07 0
2400 4391  9.8352 11749.8   -1.92809e+07 0
2500 4434  9.8352 11977.2   -1.96604e+07 0
2600 4475  9.93226 12193.3   -2.00256e+07 0
2700 4521  9.93226 12408.3   -2.04394e+07 0
2800 4562  9.93226 12655.5   -2.08118e+07 0
2900 4607  9.93226 12909.4   -2.12244e+07 0
3000 4642  9.97722 13119   -2.15482e+07 0
3100 4679  9.97722 13343.3   -2.1893e+07 0
3200 4708  10.0198 13544.3   -2.21653e+07 0
3300 4736  10.1837 13739.5   -2.24297e+07 0
3400 4770  10.1837 13898.5   -2.27529e+07 0
3500 4800  10.1837 14103.5   -2.304e+07 0
3600 4831  10.1837 14294.8   -2.33386e+07 0
3700 4857  10.4174 14461.7   -2.35904e+07 0
3800 4895  10.4583 14634.7   -2.3961e+07 0
3900 4933  10.4583 14816.1   -2.43345e+07 0
4000 4968  10.4583 14998.8   -2.4681e+07 0
4100 4998  10.4583 15150.6   -2.498e+07 0
4200 5026  10.4583 15303   -2.52607e+07 0
4300 5057  10.4583 15453.6   -2.55732e+07 0
4400 5095  10.4583 15619.4   -2.5959e+07 0
