0 392  2.05623 19.7266   -31524 1748.39
100 4672  3.19878 2817.26   -3.70309e+06 116397
200 5820  4.1228 4967.89   -5.19338e+06 142550
300 6445  4.54967 6675.15   -6.08703e+06 157037
400 6805  4.54967 8107.9   -6.61366e+06 165846
500 7069  4.74898 9298.14   -6.97368e+06 171069
600 7283  4.74898 10373.9   -7.26742e+06 175581
700 7433  5.04093 11384.1   -7.47246e+06 178103
800 7557  5.69503 12296.8   -7.65346e+06 180247
900 7660  5.8632 13102.7   -7.79449e+06 181775
1000 7760  6.15688 13924.9   -7.94127e+06 183371
1100 7854  6.28736 14666.5   -8.07904e+06 184907
1200 7919  6.43877 15393.3   -8.16876e+06 185768
1300 7983  6.43877 16082.8   -8.25579e+06 186673
1400 8034  6.59024 16740.2   -8.33233e+06 187441
1500 8084  6.59024 17377.6   -8.41415e+06 188031
1600 8136  6.76499 17956.3   -8.49329e+06 188965
1700 8178  6.76499 18561.2   -8.55011e+06 189478
1800 8216  6.9946 19146.4   -8.60743e+06 189874
1900 8255  7.18102 19708.5   -8.66925e+06 190619
2000 8286  7.18102 20285.3   -8.71693e+06 191015
2100 8324  7.3494 20838.4   -8.77785e+06 191700
2200 8358  7.3494 21347.9   -8.83036e+06 192068
2300 8387  7.59446 21834.6   -8.87857e+06 192804
2400 8417  8.22991 22315.3   -8.92362e+06 193084
2500 8443  8.22991 22779   -8.96939e+06 193935
2600 8468  8.22991 23231.4   -9.00923e+06 194443
2700 8482  8.22991 23658.6   -9.03287e+06 194867
2800 8506  8.22991 24082.9   -9.0692e+06 195108
2900 8523  8.22991 24490.8   -9.09024e+06 195282
3000 8531  8.22991 24884.1   -9.10121e+06 195371
3100 8543  8.22991 25281.3   -9.12302e+06 195669
3200 8557  8.22991 25670.1   -9.14666e+06 195892
3300 8569  8.22991 26048.6   -9.16398e+06 196214
3400 8585  8.22991 26406.1   -9.19499e+06 196619
3500 8589  8.22991 26746.6   -9.20088e+06 196685
3600 8601  8.22991 27085.9   -9.2223e+06 196996
3700 8613  8.22991 27407.6   -9.24137e+06 197324
3800 8622  8.22991 27719   -9.25591e+06 197516
3900 8636  8.5016 28027.1   -9.28011e+06 197754
4000 8646  8.5016 28349.8   -9.29915e+06 197832
4100 8653  8.5016 28643.6   -9.31028e+06 197925
4200 8663  8.5016 28955.2   -9.32698e+06 198008
4300 8671  8.5016 29238.6   -9.34014e+06 198163
4400 8678  8.5016 29491   -9.35318e+06 198315
4500 8692  8.5016 29751   -9.37782e+06 198457
4600 8700  8.5016 29972   -9.38879e+06 198556
4700 8711  8.5016 30243.4   -9.40856e+06 198695
4800 8718  8.5016 30507.4   -9.42129e+06 198688
4900 8725  8.63412 30746.1   -9.43114e+06 198860
5000 8732  8.76951 30993.1   -9.44118e+06 198831
5100 8736  8.99543 31207.3   -9.44878e+06 198850
5200 8745  8.99543 31458.2   -9.46341e+06 198918
5300 8751  8.99543 31698.5   -9.4716e+06 198949
5400 8761  8.99543 31922.1   -9.48472e+06 199013
5500 8765  8.99543 32132.8   -9.49133e+06 199154
5600 8774  8.99543 32349.8   -9.50515e+06 199206
5700 8778  8.99543 32554.1   -9.51076e+06 199203
5800 8787  9.10307 32760.4   -9.52636e+06 199284
5900 8793  9.10307 32972.6   -9.53559e+06 199338
6000 8800  9.10307 33167.2   -9.5467e+06 199473
6100 8806  9.18412 33362.6   -9.55635e+06 199526
6200 8814  9.18412 33556.1   -9.56598e+06 199614
6300 8818  9.18412 33737.8   -9.57392e+06 199648
6400 8825  9.18412 33940.8   -9.58623e+06 199768
6500 8828  9.18412 34135.8   -9.5924e+06 199866
6600 8834  9.18412 34313.2   -9.60401e+06 200016
6700 8842  9.18412 34485.5   -9.61733e+06 200181
6800 8851  9.18412 34676.6   -9.63259e+06 200352
6900 8857  9.18412 34842.2   -9.64048e+06 200425
7000 8866  9.18412 35034.2   -9.65612e+06 200452
7100 8871  9.18412 35204.9   -9.66322e+06 200500
7200 8876  9.18412 35371   -9.67281e+06 200631
7300 8879  9.18412 35546.9   -9.67754e+06 200647
7400 8886  9.21858 35735.5   -9.688e+06 200780
7500 8889  9.21858 35921.3   -9.69191e+06 200813
7600 8891  9.21858 36080.5   -9.69543e+06 200832
7700 8894  9.34285 36252.2   -9.70037e+06 200860
7800 8902  9.34285 36430.9   -9.71543e+06 201031
7900 8906  9.34285 36606   -9.72167e+06 201083
8000 8913  9.34285 36775   -9.73305e+06 201228
8100 8918  9.38285 36944.9   -9.7414e+06 201291
8200 8920  9.38285 37115.1   -9.7441e+06 201293
8300 8924  9.43862 37276.8   -9.74984e+06 201370
8400 8929  9.43862 37430.4   -9.75903e+06 201531
8500 8935  9.43862 37579.1   -9.76576e+06 201570
8600 8939  9.43862 37729   -9.77328e+06 201661
8700 8946  9.44464 37874.3   -9.78369e+06 201758
8800 8949  9.44464 38021.5   -9.7878e+06 201799
8900 8953  9.44464 38181.8   -9.79641e+06 201915
9000 8959  9.46549 38351.8   -9.80698e+06 202069
9100 8959  9.59136 38483.1   -9.80698e+06 202069
9200 8961  9.79228 38611.4   -9.81006e+06 202096
9300 8963  9.79228 38754.8   -9.81295e+06 202135
9400 8966  9.79228 38896.6   -9.81728e+06 202143
9500 8970  9.79228 39034.8   -9.82519e+06 202248
9600 8970  9.79228 39181   -9.82519e+06 202248
9700 8971  9.82253 39316.5   -9.82656e+06 202241
9800 8973  9.82253 39438.1   -9.82944e+06 202227
9900 8977  9.82253 39554.9   -9.83455e+06 202306
10000 8979  9.82253 39679.4   -9.83676e+06 202331
10100 8981  9.82253 39817.4   -9.83944e+06 202360
10200 8982  9.91974 39943.5   -9.84082e+06 202372
10300 8983  9.93638 40066.6   -9.84344e+06 202442
10400 8984  9.93638 40194.2   -9.84421e+06 202466
10500 8989  9.93638 40297.1   -9.85137e+06 202467
10600 8991  9.93638 40420.6   -9.85528e+06 202527
10700 8994  9.93638 40537.9   -9.86082e+06 202571
10800 8997  9.95677 40665.8   -9.86624e+06 202624
10900 8999  9.95677 40800.3   -9.8698e+06 202672
11000 8999  9.95677 40917.7   -9.8698e+06 202672
11100 9000  9.95677 41026.5   -9.87034e+06 202714
11200 9000  9.95677 41154.7   -9.87034e+06 202714
11300 9000  9.95677 41271.1   -9.87034e+06 202714
