0 123  1.32576 0.982728   -4141 133.881
100 3375  2.92218 2686.21   -2.56393e+06 87216.5
200 4193  3.37895 4545.62   -3.56466e+06 111874
300 4644  4.00834 5960.21   -4.12343e+06 124712
400 4953  4.00834 7152.43   -4.50691e+06 132136
500 5103  4.14441 8144.22   -4.68462e+06 135542
600 5230  4.45599 9032.5   -4.84376e+06 138613
700 5343  5.0169 9839.05   -4.98387e+06 141249
800 5436  5.10189 10567.8   -5.1012e+06 143729
900 5515  5.10189 11187.9   -5.20139e+06 145377
1000 5595  5.39642 11758.7   -5.29352e+06 147074
1100 5659  5.88231 12308.3   -5.3722e+06 148581
1200 5709  5.88231 12814.4   -5.43495e+06 149231
1300 5762  5.88231 13274   -5.50261e+06 150179
1400 5809  5.91904 13709.3   -5.5637e+06 150936
1500 5867  5.91904 14117.9   -5.63487e+06 151960
1600 5900  5.91904 14494.6   -5.67477e+06 152762
1700 5938  6.13643 14875.3   -5.72188e+06 153572
1800 5976  6.13643 15266.7   -5.7723e+06 154071
1900 6004  6.25594 15606.3   -5.81029e+06 154764
2000 6030  6.56652 15944.5   -5.84534e+06 155157
2100 6060  6.56652 16283.2   -5.88248e+06 155825
2200 6084  6.79275 16581.4   -5.91654e+06 156483
2300 6113  6.79275 16885.4   -5.95722e+06 156881
2400 6134  6.79275 17173.2   -5.98789e+06 157477
2500 6154  6.79275 17456.9   -6.01585e+06 157781
2600 6173  7.00312 17697.1   -6.04115e+06 158127
2700 6198  7.00312 17956.5   -6.07831e+06 158886
2800 6220  7.00312 18213.7   -6.10744e+06 159014
2900 6235  7.00312 18465   -6.12666e+06 159313
3000 6246  7.00312 18671.2   -6.14009e+06 159552
3100 6265  7.00312 18894.5   -6.164e+06 159892
3200 6288  7.05294 19123.8   -6.19473e+06 160193
3300 6314  7.08266 19333.5   -6.2258e+06 160609
3400 6329  7.22195 19542.2   -6.24738e+06 160868
3500 6342  7.22195 19736.5   -6.26334e+06 161314
3600 6362  7.31303 19920.9   -6.29428e+06 161867
3700 6389  7.31303 20120.8   -6.32988e+06 162314
3800 6409  7.31303 20300.2   -6.35785e+06 162609
3900 6430  7.40911 20463.1   -6.38425e+06 162870
4000 6450  7.40911 20640.6   -6.4128e+06 163063
4100 6463  7.40911 20831.8   -6.42722e+06 163351
4200 6480  7.40911 20991.2   -6.44803e+06 163744
4300 6503  7.40911 21177.5   -6.48243e+06 164197
4400 6516  7.43432 21338.3   -6.50075e+06 164420
4500 6532  7.47603 21487.1   -6.52269e+06 164829
4600 6544  7.47603 21650.9   -6.54166e+06 165049
4700 6554  7.47603 21808.6   -6.55547e+06 165403
4800 6562  7.47603 21943.7   -6.5661e+06 165633
4900 6576  7.47603 22083.2   -6.58857e+06 166134
